county,imprinted_id,cvr_id,timestamp,timestamp_sequence,total_timestamps,duration_from_previous_seconds,contest_count,discrepancy_count,ballot_type
Adams,106-90-2,63930,2024-11-19 10:49:38.437683,1,2,,52,1,23
Adams,106-90-2,63930,2024-11-19 14:31:24.134552,2,2,13305.696869,52,1,23
Adams,108-98-1,208949,2024-11-19 12:41:02.893890,1,2,,57,0,16
Adams,108-98-1,208949,2024-11-20 10:08:05.762367,2,2,77222.868477,57,0,16
Alamosa,102-134-28,103790,2024-11-18 13:44:56.110542,1,2,,39,0,2
Alamosa,102-134-28,103790,2024-11-19 09:29:41.613954,2,2,71085.503412,39,0,2
Alamosa,102-151-46,105318,2024-11-19 09:34:21.410380,1,2,,10,0,3
Alamosa,102-151-46,105318,2024-11-19 11:27:42.076883,2,2,6800.666503,10,0,3
Alamosa,102-284-30,116732,2024-11-19 10:10:51.201064,1,2,,17,0,3
Alamosa,102-284-30,116732,2024-11-19 11:08:56.263411,2,2,3485.062347,17,0,3
Alamosa,102-32-4,94888,2024-11-19 09:12:12.237179,1,2,,33,0,1
Alamosa,102-32-4,94888,2024-11-19 17:26:57.241922,2,2,29685.004743,33,0,1
Alamosa,102-33-13,94995,2024-11-19 09:13:14.907284,1,2,,41,0,3
Alamosa,102-33-13,94995,2024-11-19 10:02:11.591775,2,2,2936.684491,41,0,3
Alamosa,102-38-10,95529,2024-11-19 09:13:36.277401,1,2,,37,0,3
Alamosa,102-38-10,95529,2024-11-21 15:26:55.150825,2,2,195198.873424,37,0,3
Alamosa,102-44-2,95984,2024-11-19 09:13:57.193996,1,2,,37,0,3
Alamosa,102-44-2,95984,2024-11-19 11:18:13.201774,2,2,7456.007778,37,0,3
Alamosa,102-9-5,93046,2024-11-19 09:07:26.287368,1,3,,51,0,3
Alamosa,102-9-5,93046,2024-11-19 09:39:36.755186,2,3,1930.467818,51,0,3
Alamosa,102-9-5,93046,2024-11-21 10:49:14.674605,3,3,176977.919419,51,0,3
Alamosa,102-97-19,100387,2024-11-19 09:26:09.189694,1,2,,39,0,2
Alamosa,102-97-19,100387,2024-11-20 11:31:53.289595,2,2,93944.099901,39,0,2
Archuleta,102-110-17,233239,2024-11-19 08:26:26.835913,1,2,,40,0,1
Archuleta,102-110-17,233239,2024-11-19 11:46:02.383120,2,2,11975.547207,40,0,1
Archuleta,102-129-19,234514,2024-11-19 08:34:58.722091,1,2,,40,0,1
Archuleta,102-129-19,234514,2024-11-19 15:34:05.464665,2,2,25146.742574,40,0,1
Archuleta,102-278-4,245263,2024-11-19 09:02:47.500166,1,2,,38,0,1
Archuleta,102-278-4,245263,2024-11-20 10:16:11.035333,2,2,90803.535167,38,0,1
Archuleta,102-286-11,245667,2024-11-19 09:04:42.137611,1,2,,43,0,1
Archuleta,102-286-11,245667,2024-11-19 14:06:58.573017,2,2,18136.435406,43,0,1
Baca,102-1-4,314785,2024-11-18 14:43:01.499927,1,2,,34,0,WH
Baca,102-1-4,314785,2024-11-19 15:37:16.069901,2,2,89654.569974,34,0,WH
Baca,102-12-14,315813,2024-11-18 15:36:50.707009,1,3,,53,1,3
Baca,102-12-14,315813,2024-11-19 09:35:04.872125,2,3,64694.165116,53,1,3
Baca,102-12-14,315813,2024-11-21 10:59:55.462127,3,3,177890.590002,53,1,3
Baca,102-12-23,315810,2024-11-18 15:39:31.788260,1,2,,46,0,2
Baca,102-12-23,315810,2024-11-21 11:01:29.694725,2,2,242517.906465,46,0,2
Baca,102-18-25,316316,2024-11-18 15:59:41.989854,1,2,,44,0,3
Baca,102-18-25,316316,2024-11-19 11:09:37.600260,2,2,68995.610406,44,0,3
Baca,102-25-17,316889,2024-11-18 16:16:29.038415,1,2,,42,0,1
Baca,102-25-17,316889,2024-11-19 11:44:44.806766,2,2,70095.768351,42,0,1
Baca,102-25-5,316888,2024-11-18 15:58:31.460401,1,3,,53,0,3
Baca,102-25-5,316888,2024-11-18 16:13:50.033698,2,3,918.573297,53,0,3
Baca,102-25-5,316888,2024-11-21 11:34:26.867500,3,3,242436.833802,53,0,3
Baca,102-27-23,317032,2024-11-18 15:46:20.374486,1,2,,43,0,3
Baca,102-27-23,317032,2024-11-18 16:28:56.452119,2,2,2556.077633,43,0,3
Baca,102-29-6,317106,2024-11-18 16:30:54.211340,1,2,,43,0,2
Baca,102-29-6,317106,2024-11-19 12:07:11.305381,2,2,70577.094041,43,0,2
Baca,102-31-21,317184,2024-11-18 16:37:52.415828,1,2,,48,1,2
Baca,102-31-21,317184,2024-11-19 08:48:59.550546,2,2,58267.134718,48,1,2
Baca,102-32-21,317188,2024-11-20 09:35:41.988682,1,2,,43,0,1
