county,count,outliers_removed,mean_seconds,stdev_seconds,coefficient_of_variation
Douglas,70,2,49.71535657142857,41.76680246076075,0.840118734756579
Adams,224,4,54.572909839285714,44.326745354146276,0.812248155443537
Boulder,126,8,27.36581223015873,21.82128203655453,0.7973920837075026
Pueblo,361,19,18.477510085872577,14.724483321650576,0.7968867695495689
Arapahoe,62,5,28.15886101612903,22.43171954090759,0.7966131701157583
Larimer,127,3,35.590419062992126,26.88256299987002,0.7553314545774268
Jefferson,83,6,38.4256411686747,28.284865550457596,0.7360935221951728
Alamosa,54,7,46.59146314814815,34.24698462267864,0.7350484897583612
Lincoln,16,0,243.88657225,174.56954218791174,0.715781687271271
Jackson,32,6,247.4098265625,174.4841217205643,0.7052432966985918
Gilpin,134,3,67.77425964925374,46.49138264446824,0.6859740391864266
Broomfield,54,1,49.7482992037037,32.64790976395625,0.656261827771705
Denver,258,21,37.13092181395349,23.775732652025386,0.6403216373446097
Baca,70,13,184.2965523,108.44216727312683,0.5884112639101542
Elbert,22,0,82.66409363636363,46.90038118327649,0.5673609800839234
Clear Creek,59,5,111.9962407118644,63.394696916568364,0.5660430788892774
Garfield,111,5,81.85228199099099,46.25163140016067,0.5650622105471821
La Plata,63,1,80.72697449206349,45.39078344643932,0.5622752956126434
El Paso,156,3,108.30732219871796,58.692242331472855,0.541904657413528
Montezuma,51,2,127.45255931372549,68.6907535184339,0.5389515431334028
Pitkin,39,1,132.07821933333332,66.35582610975678,0.5023979460405262
Dolores,106,13,238.91997670754716,119.77278795209513,0.5013092232915477
Las Animas,26,4,249.00163092307693,123.98981915762604,0.49794781944994454
Bent,27,1,195.72194055555556,96.82204472857994,0.49469182889639834
Sedgwick,59,3,151.1391571694915,69.2208592313283,0.4579942122722186
Mesa,63,0,92.2417236984127,41.064504566189676,0.44518362103088405
Custer,24,4,210.83215816666666,91.70785887922807,0.4349804113219357
Fremont,19,1,115.07124910526316,48.738584028523064,0.4235513597661455
Rio Blanco,45,2,178.94640077777777,75.18761647952223,0.42016836411754926
Moffat,37,2,167.98644786486486,66.9444999315271,0.39851131315890426
Crowley,9,2,196.66575733333335,77.66089822938,0.3948877490541007
Grand,50,3,160.19622302,62.39730180534253,0.3895054491862297
Rio Grande,24,2,174.06176795833332,63.66208270071519,0.36574420360911497
San Miguel,24,3,197.01768170833333,71.07828323534329,0.3607710872396123
Phillips,51,4,303.9705894117647,109.48998724517756,0.36019927933508133
Mineral,9,1,199.65761544444445,68.45534543240468,0.3428636833111566
Conejos,59,7,201.73302905084745,66.50159978238199,0.32965152060260816
Hinsdale,51,6,123.76528794117647,36.01080445866812,0.29096045472607346
Costilla,35,4,191.4355056,55.58296448194109,0.2903482523147007
Kit Carson,98,8,103.27065439795918,26.979869354973246,0.26125397880219514
Lake,75,19,181.17364769333332,40.43923556493678,0.22320705069308394
Summit,42,9,134.10290009523808,29.04645808536183,0.21659828433787356
Eagle,42,6,168.69322938095237,34.031356089534476,0.20173516278287013
Huerfano,40,6,124.306353525,24.358044132074752,0.19595172283109374
Routt,143,23,62.266191587412585,12.131030203523762,0.19482531200729658
Otero,24,5,169.77110991666666,31.880413306297434,0.18778467857073067
Weld,90,7,166.5630199,28.7267349988971,0.1724676642879306
Delta,72,8,105.29597693055555,17.738941075553686,0.16846741530545667
Morgan,30,5,130.3797981,21.763645276288486,0.16692498065993314
Cheyenne,15,3,168.16434106666668,27.418079795996157,0.16304336354594104
Gunnison,40,5,118.205384425,19.215207586090536,0.1625578029254866
Montrose,27,3,141.80856996296296,21.99685140006366,0.1551165166238452
Teller,69,3,126.2376298115942,19.27357046809819,0.15267690384288268
Saguache,70,20,184.56325174285715,27.02983110126929,0.14645294144973464
Logan,58,5,161.50750931034483,23.607287785024326,0.14616836013278944
Ouray,65,8,100.78201852307693,14.6197430768213,0.14506301115087997
Washington,24,4,77.46816516666667,10.060015129063538,0.12985998967989246
Yuma,10,2,160.9481629,20.79218641942182,0.1291856088617823
Chaffee,72,13,140.49188370833335,17.523232439785197,0.12472772075690944
Archuleta,29,4,124.0265604137931,13.534732866766719,0.10912769669343753
Prowers,10,1,145.933188,14.095093713016523,0.09658593707290573
Park,39,11,125.29720317948718,11.857027017560748,0.09463121854823572
Kiowa,41,15,123.27594529268293,9.867127619416324,0.08004098119864095
