county_id,county_name,imprinted_id
18,Dolores,102-1-14
18,Dolores,102-13-13
18,Dolores,102-13-18
18,Dolores,102-16-2
18,Dolores,102-16-24
18,Dolores,102-17-12
18,Dolores,102-18-15
18,Dolores,102-19-21
18,Dolores,102-20-11
18,Dolores,102-22-15
18,Dolores,102-22-19
18,Dolores,102-22-9
18,Dolores,102-23-5
18,Dolores,102-24-2
18,Dolores,102-24-20
18,Dolores,102-25-23
18,Dolores,102-25-25
18,Dolores,102-26-22
18,Dolores,102-26-5
18,Dolores,102-26-6
18,Dolores,102-28-20
18,Dolores,102-29-13
18,Dolores,102-29-21
18,Dolores,102-3-12
18,Dolores,102-30-6
18,Dolores,102-32-18
18,Dolores,102-37-17
18,Dolores,102-37-2
18,Dolores,102-39-16
18,Dolores,102-40-13
18,Dolores,102-40-23
18,Dolores,102-41-15
18,Dolores,102-43-16
18,Dolores,102-44-10
18,Dolores,102-44-25
18,Dolores,102-48-22
18,Dolores,102-50-7
18,Dolores,102-52-14
18,Dolores,102-53-1
18,Dolores,102-54-23
18,Dolores,102-55-24
18,Dolores,102-58-12
18,Dolores,102-6-12
18,Dolores,102-7-8
18,Dolores,102-8-25
18,Dolores,102-9-1
18,Dolores,102-9-24
18,Dolores,102-9-4
28,Hinsdale,102-10-2
28,Hinsdale,102-10-4
28,Hinsdale,102-10-6
28,Hinsdale,102-12-13
28,Hinsdale,102-12-14
28,Hinsdale,102-12-23
28,Hinsdale,102-12-24
28,Hinsdale,102-13-12
28,Hinsdale,102-13-14
28,Hinsdale,102-13-21
28,Hinsdale,102-13-22
28,Hinsdale,102-14-21
28,Hinsdale,102-15-2
28,Hinsdale,102-17-4
28,Hinsdale,102-17-5
28,Hinsdale,102-19-21
28,Hinsdale,102-2-21
28,Hinsdale,102-2-22
28,Hinsdale,102-20-1
28,Hinsdale,102-20-11
28,Hinsdale,102-20-19
28,Hinsdale,102-20-9
28,Hinsdale,102-21-2
28,Hinsdale,102-22-17
28,Hinsdale,102-24-17
28,Hinsdale,102-24-18
28,Hinsdale,102-25-5
28,Hinsdale,102-26-2
28,Hinsdale,102-3-12
28,Hinsdale,102-3-2
28,Hinsdale,102-4-22
28,Hinsdale,102-5-10
28,Hinsdale,102-5-2
28,Hinsdale,102-6-13
28,Hinsdale,102-6-2
28,Hinsdale,102-9-11
28,Hinsdale,102-9-5
46,Otero,102-161-1
46,Otero,102-168-25
46,Otero,102-181-1
46,Otero,102-181-7
46,Otero,102-182-14
46,Otero,102-20-3
46,Otero,102-201-11
46,Otero,102-205-7
46,Otero,102-233-9
46,Otero,102-254-6
46,Otero,102-27-13
46,Otero,102-270-2
46,Otero,102-270-24
46,Otero,102-314-1
46,Otero,102-39-2
46,Otero,102-72-3
