county_id,county_name,imprinted_id
1,Adams,101-101-7
1,Adams,101-130-14
1,Adams,101-146-54
1,Adams,101-2-51
1,Adams,101-285-1
1,Adams,101-30-91
1,Adams,101-321-46
1,Adams,101-331-11
1,Adams,101-339-41
1,Adams,101-34-1
1,Adams,101-370-71
1,Adams,101-402-64
1,Adams,101-409-17
1,Adams,101-410-63
1,Adams,101-413-44
1,Adams,101-427-16
1,Adams,101-435-32
1,Adams,101-47-97
1,Adams,101-478-31
1,Adams,101-484-89
1,Adams,101-510-83
1,Adams,101-531-34
1,Adams,101-550-33
1,Adams,101-554-40
1,Adams,101-566-84
1,Adams,101-574-57
1,Adams,101-588-60
1,Adams,102-13-85
1,Adams,102-143-15
1,Adams,102-145-80
1,Adams,102-147-14
1,Adams,102-170-75
1,Adams,102-195-33
1,Adams,102-242-93
1,Adams,102-287-59
1,Adams,102-53-9
1,Adams,102-64-77
1,Adams,102-69-97
1,Adams,102-71-40
1,Adams,103-145-9
1,Adams,103-148-53
1,Adams,103-154-64
1,Adams,103-163-1
1,Adams,103-175-70
1,Adams,103-191-84
1,Adams,103-200-98
1,Adams,103-201-29
1,Adams,103-215-73
1,Adams,103-227-92
1,Adams,103-272-16
1,Adams,103-293-5
1,Adams,103-322-34
1,Adams,103-333-52
1,Adams,103-341-90
1,Adams,103-356-61
1,Adams,103-406-92
1,Adams,103-410-62
1,Adams,103-415-15
1,Adams,103-445-50
1,Adams,103-460-94
1,Adams,103-464-83
1,Adams,103-470-87
1,Adams,103-482-7
1,Adams,103-484-34
1,Adams,103-491-64
1,Adams,103-492-1
1,Adams,103-503-55
1,Adams,103-514-21
1,Adams,103-53-106
1,Adams,103-532-22
1,Adams,103-534-78
1,Adams,103-536-73
1,Adams,103-562-15
1,Adams,103-583-54
1,Adams,103-78-94
1,Adams,104-102-5
1,Adams,104-110-70
1,Adams,104-123-73
1,Adams,104-126-66
1,Adams,104-150-54
1,Adams,104-163-45
1,Adams,104-191-71
1,Adams,104-199-71
1,Adams,104-211-1
1,Adams,104-240-56
1,Adams,104-242-54
1,Adams,104-29-15
1,Adams,104-38-37
1,Adams,104-8-53
1,Adams,104-8-99
1,Adams,104-99-42
1,Adams,105-131-31
1,Adams,105-137-22
1,Adams,105-176-88
1,Adams,105-177-25
1,Adams,105-208-49
1,Adams,105-214-84
1,Adams,105-218-76
1,Adams,105-241-43
1,Adams,105-28-77
1,Adams,105-40-43
1,Adams,105-71-100
1,Adams,105-83-51
