county,imprinted_id,timestamp,contest_count,round1_contest_count,round2_contest_count,primary_round,discrepancy_count,delta_seconds
Chaffee,102-1-1,2025-11-17 12:13:53.073634,9,9,9,1,0,
Chaffee,102-2-4,2025-11-17 12:16:21.116664,12,12,12,1,0,148.04303
Chaffee,102-6-48,2025-11-17 12:27:42.048440,12,12,12,1,0,680.931776
Chaffee,102-7-42,2025-11-17 12:28:55.452697,9,9,9,1,0,73.404257
Chaffee,102-8-44,2025-11-17 12:32:42.508723,12,12,12,1,0,227.056026
Chaffee,102-10-41,2025-11-17 12:33:43.679511,9,9,9,1,0,61.170788
Chaffee,102-12-45,2025-11-17 12:37:47.282140,9,9,9,1,0,243.602629
Chaffee,102-12-49,2025-11-17 12:39:31.742619,15,15,15,1,0,104.460479
Chaffee,102-14-17,2025-11-17 12:41:42.790171,9,9,9,1,0,131.047552
Chaffee,102-15-1,2025-11-17 12:45:20.681001,9,9,9,1,0,217.89083
Chaffee,102-18-50,2025-11-17 12:47:44.616757,12,12,12,1,0,143.935756
Chaffee,102-20-48,2025-11-17 12:50:03.464612,9,9,9,1,0,138.847855
Chaffee,102-22-29,2025-11-17 12:50:57.353755,9,9,9,1,0,53.889143
Chaffee,102-25-48,2025-11-17 12:52:15.120321,15,15,15,1,0,77.766566
Chaffee,102-26-49,2025-11-17 12:53:10.820360,9,9,9,1,0,55.700039
Chaffee,102-31-43,2025-11-17 12:54:01.028326,9,9,9,1,0,50.207966
Chaffee,102-35-38,2025-11-17 12:56:15.422582,9,9,9,1,0,134.394256
Chaffee,102-35-45,2025-11-17 12:57:13.512921,9,9,9,1,0,58.090339
Chaffee,102-37-4,2025-11-17 13:00:30.420504,15,15,15,1,0,196.907583
Chaffee,102-39-35,2025-11-17 13:03:19.315411,9,9,9,1,0,168.894907
Chaffee,102-41-24,2025-11-17 13:07:19.670860,9,9,9,1,0,240.355449
Chaffee,102-45-28,2025-11-17 13:10:02.733189,12,12,12,1,0,163.062329
Chaffee,102-46-15,2025-11-17 13:10:57.564901,12,12,12,1,0,54.831712
Chaffee,102-46-44,2025-11-17 13:11:54.782135,9,9,9,1,0,57.217234
Chaffee,102-47-31,2025-11-17 13:12:51.175651,9,9,9,1,0,56.393516
Chaffee,102-49-38,2025-11-17 13:15:07.511650,15,15,15,1,0,136.335999
Chaffee,102-53-38,2025-11-17 13:18:12.530107,12,12,12,1,0,185.018457
Chaffee,102-53-49,2025-11-17 13:20:16.158780,12,12,12,1,0,123.628673
Chaffee,102-54-3,2025-11-17 13:21:34.388561,12,12,12,1,0,78.229781
Chaffee,102-56-37,2025-11-17 13:24:47.598158,15,15,15,1,0,193.209597
Chaffee,102-57-42,2025-11-17 13:25:32.369825,9,9,9,1,0,44.771667
Chaffee,102-59-3,2025-11-17 13:27:32.101382,15,15,15,1,0,119.731557
Chaffee,102-61-48,2025-11-17 13:28:21.113070,9,9,9,1,0,49.011688
Chaffee,102-62-3,2025-11-17 13:29:30.834264,15,15,15,1,0,69.721194
Chaffee,102-62-19,2025-11-17 13:30:36.685062,15,15,15,1,0,65.850798
Chaffee,102-63-14,2025-11-17 13:31:38.091690,15,15,15,1,0,61.406628
Chaffee,102-63-20,2025-11-17 13:32:28.307444,12,12,12,1,0,50.215754
Chaffee,102-67-40,2025-11-17 13:34:45.423096,15,15,15,1,0,137.115652
Chaffee,102-69-36,2025-11-17 13:35:34.060171,9,9,9,1,0,48.637075
