target, id, NCounties, name, npop, nc, voteDiff, reportedMargin, dilutedMargin, estMvrs, haveMvrs, mvrsExtra, estRisk, 
false, 213, [Denver], Denver Referred Question 2U, 1104271, 368208, 92059, 25.00%, 08.34%, 86, 258, 172, 00.0%, 
false, 214, [Denver], Denver Referred Question 2V, 1104271, 368208, 94286, 25.61%, 08.54%, 84, 258, 174, 00.0%, 
false, 215, [Denver], Denver Referred Question 2W, 1104271, 366622, 68667, 18.73%, 06.22%, 116, 258, 142, 00.0%, 
false, 216, [Pueblo], District Attorney - 10th Judicial District, 170790, 86126, 10184, 11.82%, 05.96%, 121, 381, 260, 00.0%, 
true, 224, 02, District Attorney - 18th Judicial District, 372192, 351540, 46710, 13.29%, 12.55%, 57, 55, -2, 03.2%, 
false, 229, 02, District Attorney - 22nd Judicial District, 16889, 16757, 5305, 31.66%, 31.41%, 22, 61, 39, 00.0%, 
false, 230, 03, District Attorney - 23rd Judicial District, 271420, 271299, 59237, 21.83%, 21.82%, 32, 68, 36, 00.1%, 
false, 233, 02, District Attorney - 4th Judicial District, 404409, 403633, 83949, 20.80%, 20.76%, 34, 134, 100, 00.0%, 
false, 237, 02, District Attorney - 8th Judicial District, 459069, 229885, 2305, 01.00%, 00.50%, 1450, 121, -1329, 74.6%, 
false, 239, [Pueblo], District Court Judge - 10th Judicial District - O'Shea, 170790, 86126, 17651, 20.49%, 10.33%, 69, 381, 312, 00.0%, 
false, 240, 04, District Court Judge - 11th Judicial District - Turner, 58002, 56618, 6042, 10.67%, 10.42%, 69, 47, -22, 08.9%, 
false, 241, 06, District Court Judge - 12th Judicial District - Cortez, 32059, 24514, 8014, 32.69%, 25.00%, 28, 137, 109, 00.0%, 
false, 242, 07, District Court Judge - 13th Judicial District - Haenlein, 39062, 38927, 4106, 10.55%, 10.51%, 68, 110, 42, 00.3%, 
false, 243, 07, District Court Judge - 13th Judicial District - James, 39062, 38927, 4003, 10.28%, 10.25%, 70, 110, 40, 00.4%, 
false, 244, 07, District Court Judge - 13th Judicial District - McGuire, 39062, 38927, 6207, 15.95%, 15.89%, 44, 110, 66, 00.0%, 
false, 245, 04, District Court Judge - 15th Judicial District - Davidson, 9498, 9177, 2388, 26.02%, 25.14%, 28, 33, 5, 01.4%, 
false, 246, 03, District Court Judge - 16th Judicial District - Vigil, 12989, 12989, 4453, 34.28%, 34.28%, 20, 52, 32, 00.0%, 
false, 247, 02, District Court Judge - 17th Judicial District - Holbrook, 516401, 284415, 67695, 23.80%, 13.11%, 54, 236, 182, 00.0%, 
false, 248, 02, District Court Judge - 17th Judicial District - Martin, 516401, 284415, 57569, 20.24%, 11.15%, 64, 236, 172, 00.0%, 
false, 249, 02, District Court Judge - 17th Judicial District - Vasquez, 516401, 284415, 70851, 24.91%, 13.72%, 52, 236, 184, 00.0%, 
false, 250, 04, District Court Judge - 18th Judicial District - Figa, 622960, 602187, 127462, 21.17%, 20.46%, 34, 92, 58, 00.0%, 
false, 251, 04, District Court Judge - 18th Judicial District - Leutwyler, 622960, 602187, 123984, 20.59%, 19.90%, 35, 92, 57, 00.0%, 
false, 252, 04, District Court Judge - 18th Judicial District - Lung, 622960, 602187, 148783, 24.71%, 23.88%, 29, 92, 63, 00.0%, 
false, 253, 04, District Court Judge - 18th Judicial District - McLean, 622960, 602187, 168696, 28.01%, 27.08%, 25, 92, 67, 00.0%, 
false, 254, 04, District Court Judge - 18th Judicial District - Toussaint, 622960, 602187, 143718, 23.87%, 23.07%, 30, 92, 62, 00.0%, 
false, 255, 04, District Court Judge - 18th Judicial District - Whitaker, 622960, 602187, 155154, 25.77%, 24.91%, 28, 92, 64, 00.0%, 
false, 256, 04, District Court Judge - 18th Judicial District - Whitfield, 622960, 602187, 61762, 10.26%, 09.91%, 72, 92, 20, 01.1%, 
true, 257, [Weld], District Court Judge - 19th Judicial District - Crowther, 182397, 182060, 15611, 08.57%, 08.56%, 84, 87, 3, 02.6%, 
false, 258, [Weld], District Court Judge - 19th Judicial District - Esser, 182397, 182060, 34439, 18.92%, 18.88%, 37, 87, 50, 00.0%, 
false, 259, [Weld], District Court Judge - 19th Judicial District - Taylor, 182397, 182060, 37387, 20.54%, 20.50%, 34, 87, 53, 00.0%, 
false, 260, 02, District Court Judge - 1st Judicial District - Carrithers, 371962, 371544, 92064, 24.78%, 24.75%, 28, 67, 39, 00.0%, 
false, 261, 02, District Court Judge - 1st Judicial District - Hunt, 371962, 371544, 102453, 27.57%, 27.54%, 25, 67, 42, 00.0%, 
false, 262, [Boulder], District Court Judge - 20th Judicial District - Collins, 396121, 198600, 79250, 39.90%, 20.01%, 35, 120, 85, 00.0%, 
false, 263, [Boulder], District Court Judge - 20th Judicial District - Gunning, 396121, 198600, 80680, 40.62%, 20.37%, 34, 120, 86, 00.0%, 
false, 264, [Boulder], District Court Judge - 20th Judicial District - Lindsey, 396121, 198600, 77589, 39.07%, 19.59%, 36, 120, 84, 00.0%, 
false, 265, [Boulder], District Court Judge - 20th Judicial District - Mulvahill, 396121, 198600, 71385, 35.94%, 18.02%, 39, 120, 81, 00.0%, 
false, 266, 02, District Court Judge - 22nd Judicial District - Plewe, 16889, 16757, 5839, 34.85%, 34.57%, 20, 61, 41, 00.0%, 
false, 267, [Denver], District Court Judge - 2nd Judicial District Bailey, 1104271, 369425, 139893, 37.87%, 12.67%, 56, 258, 202, 00.0%, 
false, 268, [Denver], District Court Judge - 2nd Judicial District Espinosa, 1104271, 369425, 138785, 37.57%, 12.57%, 57, 258, 201, 00.0%, 
false, 269, [Denver], District Court Judge - 2nd Judicial District Grant, 1104271, 369425, 127035, 34.39%, 11.50%, 62, 258, 196, 00.0%, 
false, 270, [Denver], District Court Judge - 2nd Judicial District Moses, 1104271, 369425, 142873, 38.67%, 12.94%, 55, 258, 203, 00.0%, 
false, 271, [Denver], District Court Judge - 2nd Judicial District Myers, 1104271, 369425, 137956, 37.34%, 12.49%, 57, 258, 201, 00.0%, 
false, 272, [Denver], District Court Judge - 2nd Judicial District Schutte, 1104271, 369425, 147075, 39.81%, 13.32%, 53, 258, 205, 00.0%, 
false, 273, [Denver], District Court Judge - 2nd Judicial District Scoville, 1104271, 369425, 138208, 37.41%, 12.52%, 57, 258, 201, 00.0%, 
false, 274, [Denver], District Court Judge - 2nd Judicial District Trujillo, 1104271, 369425, 141320, 38.25%, 12.80%, 56, 258, 202, 00.0%, 
false, 275, 02, District Court Judge - 4th Judicial District - Bentley, 404409, 403633, 69412, 17.20%, 17.16%, 41, 134, 93, 00.0%, 
false, 276, 02, District Court Judge - 4th Judicial District - Billings-Vela, 404409, 403633, 67101, 16.62%, 16.59%, 43, 134, 91, 00.0%, 
false, 277, 02, District Court Judge - 4th Judicial District - Brady, 404409, 403633, 84870, 21.03%, 20.99%, 33, 134, 101, 00.0%, 
false, 278, 02, District Court Judge - 4th Judicial District - Evig, 404409, 403633, 63851, 15.82%, 15.79%, 45, 134, 89, 00.0%, 
false, 279, 02, District Court Judge - 4th Judicial District - Findorff, 404409, 403633, 57392, 14.22%, 14.19%, 50, 134, 84, 00.0%, 
false, 280, 02, District Court Judge - 4th Judicial District - May, 404409, 403633, 75493, 18.70%, 18.67%, 38, 134, 96, 00.0%, 
false, 281, 02, District Court Judge - 4th Judicial District - Moller, 404409, 403633, 70605, 17.49%, 17.46%, 40, 134, 94, 00.0%, 
false, 282, 02, District Court Judge - 4th Judicial District - Shakes, 404409, 403633, 95958, 23.77%, 23.73%, 29, 134, 105, 00.0%, 
false, 283, 04, District Court Judge - 5th Judicial District - Olguin-Fresquez, 56960, 56189, 18001, 32.04%, 31.60%, 22, 92, 70, 00.0%, 
false, 284, 02, District Court Judge - 6th Judicial District - Shropshire, 45639, 45639, 13682, 29.98%, 29.98%, 23, 80, 57, 00.0%, 
false, 285, 06, District Court Judge - 7th Judicial District - Schultz, 66700, 66506, 13567, 20.40%, 20.34%, 34, 82, 48, 00.0%, 
false, 286, 06, District Court Judge - 7th Judicial District - Yoder, 66700, 66506, 14583, 21.93%, 21.86%, 32, 82, 50, 00.0%, 
false, 287, 02, District Court Judge - 8th Judicial District - Cure, 459069, 229885, 61502, 26.75%, 13.40%, 53, 121, 68, 00.0%, 
false, 288, 02, District Court Judge - 8th Judicial District - Findley, 459069, 229885, 61879, 26.92%, 13.48%, 53, 121, 68, 00.0%, 
false, 289, 03, District Court Judge - 9th Judicial District - Norrdin, 45826, 45826, 16119, 35.17%, 35.17%, 19, 165, 146, 00.0%, 
false, 290, [Dolores], Dolores County Commissioner District 2, 1453, 1431, 299, 20.89%, 20.58%, 34, 146, 112, 00.0%, 
false, 291, [Dolores], Dolores County Commissioner District 3, 1453, 1431, 516, 36.06%, 35.51%, 19, 146, 127, 00.0%, 
false, 292, [Montezuma], Dolores School District RE-4A Ballot Issue 4-A, 15436, 2732, 942, 34.48%, 06.10%, 118, 56, -62, 18.8%, 
true, 293, [Douglas], Douglas County Commissioner - District 2, 248173, 248052, 29760, 12.00%, 11.99%, 59, 62, 3, 02.5%, 
false, 294, [Douglas], Douglas County Commissioner - District 3, 248173, 248052, 35059, 14.13%, 14.13%, 50, 62, 12, 01.3%, 
false, 295, [Douglas], Douglas County Court - Waidler, 248173, 248052, 66889, 26.97%, 26.95%, 26, 62, 36, 00.0%, 
false, 296, 02, Douglas County School District RE-1 Ballot Issue 5A, 268825, 250197, 44093, 17.62%, 16.40%, 43, 67, 24, 00.4%, 
true, 297, [Dolores], Dove Creek Ambulance District Ballot Issue 6A, 1453, 1189, 195, 16.40%, 13.42%, 53, 146, 93, 00.0%, 
false, 298, [La Plata], Durango School District 9-R Ballot Issue 4A, 36150, 26997, 5622, 20.82%, 15.55%, 45, 63, 18, 00.7%, 
true, 299, [Eagle], Eagle County Commissioner - District 1, 28988, 28217, 4635, 16.43%, 15.99%, 44, 47, 3, 02.3%, 
false, 301, [Eagle], Eagle River Fire Protection District Ballot Issue 6A, 28988, 11090, 3052, 27.52%, 10.53%, 68, 47, -21, 08.6%, 
false, 302, [El Paso], El Paso County Commissioner - District 2, 387297, 86597, 24150, 27.89%, 06.24%, 115, 128, 13, 02.0%, 
false, 303, [El Paso], El Paso County Commissioner - District 3, 387297, 91244, 7262, 07.96%, 01.88%, 387, 128, -259, 31.3%, 
false, 304, [El Paso], El Paso County Commissioner - District 4, 387297, 57957, 9878, 17.04%, 02.55%, 284, 128, -156, 20.6%, 
false, 305, [El Paso], El Paso County Court - Ankeny, 387297, 387050, 88436, 22.85%, 22.83%, 30, 128, 98, 00.0%, 
false, 306, [El Paso], El Paso County Court - Fennick, 387297, 387050, 68816, 17.78%, 17.77%, 40, 128, 88, 00.0%, 
false, 307, [El Paso], El Paso County Court - Gerhart, 387297, 387050, 95264, 24.61%, 24.60%, 28, 128, 100, 00.0%, 
false, 308, [El Paso], El Paso County Court - Katzman, 387297, 387050, 51888, 13.41%, 13.40%, 53, 128, 75, 00.0%, 
false, 309, [El Paso], El Paso County Court - McKedy, 387297, 387050, 84435, 21.82%, 21.80%, 32, 128, 96, 00.0%, 
false, 310, [El Paso], El Paso County School District No. 20 (Academy) Ballot Issue 4B, 387297, 77299, 11171, 14.45%, 02.88%, 251, 128, -123, 16.7%, 
true, 313, [Elbert], Elbert County Question 1A, 20652, 20652, 9438, 45.70%, 45.70%, 14, 21, 7, 00.5%, 
false, 314, [Boulder], Eldorado Springs Public Improvement District Ballot Question 6C, 396121, 176, 135, 76.70%, 00.03%, 21380, 120, -21260, 98.1%, 
false, 315, [Elbert], Elizabeth Mayor, 20652, 1590, 47, 02.96%, 00.23%, 3201, 21, -3180, 97.7%, 
false, 316, [Elbert], Elizabeth Trustee Ward 1, 20652, 509, 47, 09.23%, 00.23%, 3201, 21, -3180, 97.7%, 
false, 317, [Elbert], Elizabeth Trustee Ward 3, 20652, 570, 10, 01.75%, 00.05%, 15048, 21, -15027, 99.5%, 
false, 318, [Jefferson], Fairmount Fire Protection District Ballot Issue 6B, 367779, 7078, 2658, 37.55%, 00.72%, 1007, 66, -941, 79.5%, 
false, 319, [Jefferson], Fairmount Fire Protection District Ballot Question 6C, 367779, 7078, 3632, 51.31%, 00.99%, 736, 66, -670, 73.0%, 
false, 320, [Kit Carson], Flagler Rural Fire Protection District Ballot Issue 6C, 3807, 601, 79, 13.14%, 02.08%, 350, 109, -241, 33.5%, 
false, 321, [El Paso], Flying Horse Metropolitan District No. 2 Ballot Question 6C, 387297, 3145, 1633, 51.92%, 00.42%, 1727, 128, -1599, 77.1%, 
false, 322, [El Paso], Flying Horse Metropolitan District No. 3 Ballot Question 6D, 387297, 426, 221, 51.88%, 00.06%, 12769, 128, -12641, 96.5%, 
false, 323, [Jefferson], Foothills Park & Recreation District Ballot Issue 6D, 367779, 63117, 30452, 48.25%, 08.28%, 87, 66, -21, 06.8%, 
true, 325, [Fremont], Fremont County Board of County Commissioners - District 3, 26051, 25831, 9809, 37.97%, 37.65%, 18, 21, 3, 01.5%, 
false, 327, [Logan], Frenchman School District No. RE-3 Referred Ballot Issue 4D, 10274, 624, 59, 09.46%, 00.57%, 1268, 64, -1204, 83.8%, 
false, 328, [Chaffee], Funding Poncha Springs Law Enforcement And Parks And Recreation, 14627, 1021, 40, 03.92%, 00.27%, 2663, 89, -2574, 88.9%, 
false, 329, [Garfield], Garfield County Court - Roff, 30750, 30750, 404, 01.31%, 01.31%, 553, 117, -436, 47.6%, 
true, 330, [Gilpin], Gilpin County Commissioner - District 1, 4183, 4183, 217, 05.19%, 05.19%, 139, 139, 0, 03.0%, 
false, 331, [Gilpin], Gilpin County Commissioner - District 3, 4183, 4183, 107, 02.56%, 02.56%, 283, 139, -144, 17.9%, 
false, 332, [Garfield], Glenwood Springs Ballot Issue 2A  Tax increase for Streets, 30750, 4845, 91, 01.88%, 00.30%, 2461, 117, -2344, 84.6%, 
false, 333, [Grand], Granby Ranch Metropolitan District Ballot Issue 6A - Repeal Unused Debt Authorization, 10236, 282, 201, 71.28%, 01.96%, 370, 57, -313, 58.2%, 
false, 334, [Grand], Grand County Ballot Issue 1A - Lodging Tax Increase, 10236, 10060, 1804, 17.93%, 17.62%, 40, 57, 17, 00.6%, 
false, 335, [Grand], Grand County Commissioner - District 1, 10236, 10060, 1455, 14.46%, 14.21%, 50, 57, 7, 01.7%, 
true, 336, [Grand], Grand County Commissioner - District 2, 10236, 10060, 1346, 13.38%, 13.15%, 54, 57, 3, 02.4%, 
false, 337, [Gunnison], Gunnison County Commissioner - District 1, 11126, 11126, 2722, 24.47%, 24.47%, 28, 49, 21, 00.2%, 
false, 338, [Gunnison], Gunnison County Commissioner - District 2, 11126, 11126, 2592, 23.30%, 23.30%, 30, 49, 19, 00.3%, 
true, 339, [Gunnison], Gunnison County Library District Ballot Issue 6A, 11126, 11126, 1683, 15.13%, 15.13%, 47, 49, 2, 02.4%, 
false, 340, [El Paso], Harrison School District No. 2 Ballot Issue 4A, 387297, 25420, 3542, 13.93%, 00.91%, 795, 128, -667, 56.9%, 
false, 341, [Park], Hartsel Fire Protection District Ballot Issue 6A - Mill Levy Increase, 13392, 2070, 255, 12.32%, 01.90%, 381, 56, -325, 59.7%, 
true, 342, [Hinsdale], Hinsdale County Commissioner District 1, 618, 618, 104, 16.83%, 16.83%, 42, 81, 39, 00.1%, 
false, 345, [Hinsdale], Hinsdale County Sheriff, 618, 618, 160, 25.89%, 25.89%, 27, 81, 54, 00.0%, 
false, 346, 03, Holyoke School District RE-1J Ballot Issue 5K - Bonds, 8474, 1566, 70, 04.47%, 00.83%, 881, 32, -849, 88.0%, 
false, 347, [Boulder], Homestead Public Improvement District of Boulder County Ballot Issue 6D, 396121, 171, 33, 19.30%, 00.01%, 87469, 120, -87349, 99.5%, 
true, 348, [Huerfano], Huerfano County Commissioner - District 1, 4511, 4511, 628, 13.92%, 13.92%, 51, 53, 2, 02.5%, 
false, 349, [Huerfano], Huerfano County Commissioner - District 2, 4511, 4511, 40, 00.89%, 00.89%, 820, 53, -767, 79.7%, 
false, 350, [Adams], Hyland Hills Park and Recreation District Ballot Issue No. 6B, 468858, 51732, 8023, 15.51%, 01.71%, 424, 214, -210, 17.0%, 
false, 351, [Gilpin], Increase in City Lodging Tax, 4183, 66, 24, 36.36%, 00.57%, 1269, 139, -1130, 68.1%, 
false, 354, [Jefferson], Jefferson County Ballot Issue 1A, 367779, 367361, 53261, 14.50%, 14.48%, 49, 66, 17, 00.8%, 
false, 355, [Jefferson], Jefferson County Commissioner - District 1, 367779, 367361, 43566, 11.86%, 11.85%, 60, 66, 6, 02.1%, 
true, 356, [Jefferson], Jefferson County Commissioner - District 2, 367779, 367361, 41410, 11.27%, 11.26%, 63, 66, 3, 02.5%, 
false, 357, [Jefferson], Jefferson County Court- Burback, 367779, 367361, 108107, 29.43%, 29.39%, 23, 66, 43, 00.0%, 
false, 358, [Jefferson], Jefferson County Court-Carpenter, 367779, 367361, 108347, 29.49%, 29.46%, 23, 66, 43, 00.0%, 
false, 359, [Jefferson], Jefferson County Court-Goman, 367779, 367361, 102877, 28.00%, 27.97%, 25, 66, 41, 00.0%, 
false, 360, [Jefferson], Jefferson County Court-Peper, 367779, 367361, 106431, 28.97%, 28.94%, 24, 66, 42, 00.0%, 
false, 361, [Jefferson], Jefferson County Court-Wheeler, 367779, 367361, 110228, 30.01%, 29.97%, 23, 66, 43, 00.0%, 
false, 362, [Jefferson], Ken-Caryl Metropolitan District Ballot Issue 6F, 367779, 7553, 2211, 29.27%, 00.60%, 1211, 66, -1145, 82.6%, 
false, 363, [Kiowa], Kiowa County Ballot Issue 1A, 1060, 870, 100, 11.49%, 09.43%, 76, 57, -19, 07.0%, 
false, 364, [Kiowa], Kiowa County Ballot Issue 1B - Lodging Tax, 1060, 870, 98, 11.26%, 09.25%, 77, 57, -20, 07.4%, 
true, 367, [Kiowa], Kiowa County Hospital District Ballot Question 6A, 1060, 1060, 136, 12.83%, 12.83%, 55, 57, 2, 02.6%, 
false, 368, [Kiowa], Kiowa County Public Library District Ballot Question 6B, 1060, 870, 420, 48.28%, 39.62%, 17, 57, 40, 00.0%, 
false, 370, [Elbert], Kiowa School District C-2 Issue 4A, 20652, 2166, 86, 03.97%, 00.42%, 1749, 21, -1728, 95.9%, 
false, 373, [La Plata], La Plata County Ballot Issue 1A, 36150, 24578, 8804, 35.82%, 24.35%, 28, 63, 35, 00.0%, 
true, 375, [La Plata], La Plata County Commissioner District 3, 36150, 36150, 4183, 11.57%, 11.57%, 62, 63, 1, 02.7%, 
false, 376, [La Plata], La Plata County Treasurer, 36150, 36150, 21846, 60.43%, 60.43%, 11, 63, 52, 00.0%, 
false, 377, [Boulder], Lafayette Downtown Development Authority Ballot Issue 6B, 396121, 327, 165, 50.46%, 00.04%, 17493, 120, -17373, 97.6%, 
false, 378, [Boulder], Lafayette Downtown Development Authority Ballot Question 6A, 396121, 327, 181, 55.35%, 00.05%, 15946, 120, -15826, 97.4%, 
false, 380, [Lake], Lake County Commissioner District 1, 3973, 3973, 816, 20.54%, 20.54%, 34, 116, 82, 00.0%, 
false, 381, [Lake], Lake County Commissioner District 2, 3973, 3973, 293, 07.37%, 07.37%, 97, 116, 19, 01.5%, 
false, 382, [Lake], Lake County Commissioner District 3, 3973, 3973, 280, 07.05%, 07.05%, 102, 116, 14, 01.8%, 
true, 383, [Lake], Lake County School District R-1 Ballot Issue 4A, 3973, 3973, 251, 06.32%, 06.32%, 114, 116, 2, 02.8%, 
false, 384, [Larimer], Larimer County Ballot Issue 1A, 458224, 228213, 7686, 03.37%, 01.68%, 433, 121, -312, 37.5%, 
true, 385, [Larimer], Larimer County Clerk and Recorder, 458224, 229040, 32770, 14.31%, 07.15%, 100, 121, 21, 01.4%, 
false, 386, [Larimer], Larimer County Commissioner - District 2, 458224, 229040, 23897, 10.43%, 05.22%, 138, 121, -17, 04.6%, 
false, 387, [Larimer], Larimer County Commissioner - District 3, 458224, 229040, 20387, 08.90%, 04.45%, 162, 121, -41, 07.3%, 
false, 388, [Larimer], Larimer County Court Judge - Ecton, 458224, 229040, 47914, 20.92%, 10.46%, 68, 121, 53, 00.2%, 
false, 389, [Larimer], Larimer County Court Judge - Lehman, 458224, 229040, 80655, 35.21%, 17.60%, 40, 121, 81, 00.0%, 
false, 390, [Larimer], Larimer County Fox Ridge Estates Public Improvement District No. 79 Ballot Issue 6E, 458224, 27, 18, 66.67%, 00.00%, 185502, 121, -185381, 99.8%, 
false, 391, [Larimer], Larimer County Grayhawk Knolls Public Improvement District No. 43 Ballot Issue 6C, 458224, 54, 19, 35.19%, 00.00%, 175739, 121, -175618, 99.8%, 
false, 392, [Larimer], Larimer County Poudre Overlook Public Improvement District No. 30 Ballot Issue 6A, 458224, 184, 95, 51.63%, 00.02%, 35147, 121, -35026, 98.8%, 
false, 393, [Larimer], Larimer County Tanager Public Improvement District No. 72 Ballot Issue 6D, 458224, 33, 23, 69.70%, 00.01%, 145175, 121, -145054, 99.7%, 
false, 394, [Larimer], Larimer County Vine Drive Public Improvement District No. 29 Ballot Issue 6B, 458224, 70, 30, 42.86%, 00.01%, 111301, 121, -111180, 99.6%, 
true, 396, [Las Animas], Las Animas County Commissioner District 2, 7886, 7886, 1486, 18.84%, 18.84%, 37, 40, 3, 02.2%, 
false, 397, [Lake], Leadville Lake County Regional Housing Authority Ballot Issue 6A, 3973, 3973, 695, 17.49%, 17.49%, 40, 116, 76, 00.0%, 
false, 398, [Lincoln], Lincoln County Commissioner - District 2, 2595, 2595, 1010, 38.92%, 38.92%, 17, 25, 8, 00.5%, 
true, 399, [Lincoln], Lincoln County Commissioner - District 3, 2595, 2595, 798, 30.75%, 30.75%, 22, 25, 3, 01.8%, 
true, 402, [Logan], Logan County Court Judge - Brammer, 10274, 10274, 1200, 11.68%, 11.68%, 61, 64, 3, 02.4%, 
true, 403, [Mesa], Mesa County Ballot Issue 1A, 92921, 92921, 11483, 12.36%, 12.36%, 58, 60, 2, 02.5%, 
false, 404, [Mesa], Mesa County Ballot Issue 1B, 92921, 92921, 11483, 12.36%, 12.36%, 58, 60, 2, 02.5%, 
false, 405, [Mesa], Mesa County Commissioner - District 1, 92921, 92921, 28421, 30.59%, 30.59%, 22, 60, 38, 00.0%, 
false, 407, [Mesa], Mesa County Court Judge - Grattan III, 92921, 92921, 27997, 30.13%, 30.13%, 23, 60, 37, 00.0%, 
false, 408, [Mesa], Mesa County Valley School District 51 Ballot Issue 4A, 92921, 90852, 17946, 19.75%, 19.31%, 36, 60, 24, 00.3%, 
false, 409, [Mesa], Mesa County Valley School District 51 Ballot Issue 4B, 92921, 90852, 14650, 16.13%, 15.77%, 45, 60, 15, 00.9%, 
true, 411, [Mineral], Mineral County Commissioner - District 3, 766, 766, 334, 43.60%, 43.60%, 15, 18, 3, 01.4%, 
false, 412, [Moffat], Moffat County Commissioner District 1, 6699, 6699, 3349, 49.99%, 49.99%, 13, 47, 34, 00.0%, 
false, 414, [Montezuma], Montezuma Cortez RE-1 Ballot Issue 4-B, 15436, 9917, 671, 06.77%, 04.35%, 166, 56, -110, 30.6%, 
true, 415, [Montezuma], Montezuma County Ballot Issue 1-A, 15436, 15326, 2053, 13.40%, 13.30%, 53, 56, 3, 02.4%, 
true, 419, [Montrose], Montrose County Commissioner - District 3, 26005, 25991, 6122, 23.55%, 23.54%, 30, 32, 2, 02.1%, 
false, 420, [Montrose], Montrose County Court - Beckenhauer, 26005, 25991, 6351, 24.44%, 24.42%, 28, 32, 4, 01.8%, 
false, 421, [Montrose], Montrose County Court - Harvell, 26005, 25991, 5083, 19.56%, 19.55%, 36, 32, -4, 04.2%, 
false, 422, 03, Montrose School District RE-1J Ballot Issue 5A, 41288, 24741, 11111, 44.91%, 26.91%, 26, 51, 25, 00.1%, 
false, 423, [Morgan], Morgan County Commissioner District 1, 13669, 13602, 6219, 45.72%, 45.50%, 15, 38, 23, 00.0%, 
false, 424, [Morgan], Morgan County Commissioner District 3, 13669, 13602, 7382, 54.27%, 54.01%, 12, 38, 26, 00.0%, 
false, 425, [Jefferson], Mountain Shadows Metropolitan District Ballot Issue 6E, 367779, 1135, 238, 20.97%, 00.06%, 11259, 66, -11193, 98.0%, 
false, 426, [Gunnison], Mt Crested Butte Town Council, 11126, 721, 34, 04.72%, 00.31%, 2383, 49, -2334, 93.0%, 
true, 427, [Jackson], NORTH PARK SCHOOL DISTRICT R-1 BALLOT ISSUE 4A, 845, 845, 106, 12.54%, 12.54%, 57, 57, 0, 02.9%, 
false, 428, [Adams], North Range Metropolitan District No 2 Ballot Question 6I, 468858, 1596, 667, 41.79%, 00.14%, 5121, 214, -4907, 86.4%, 
false, 429, [Adams], North Range Metropolitan District No 2 Ballot Question 6J, 468858, 1596, 672, 42.11%, 00.14%, 5083, 214, -4869, 86.3%, 
false, 430, [Adams], North Range Metropolitan District No 2 Ballot Question 6K, 468858, 1596, 734, 45.99%, 00.16%, 4653, 214, -4439, 85.1%, 
false, 431, [Adams], North Range Metropolitan District No 2 Ballot Question 6L, 468858, 1596, 666, 41.73%, 00.14%, 5129, 214, -4915, 86.4%, 
false, 432, 02, Norwood Fire Protection District Ballot Issue 7A, 31013, 1225, 586, 47.84%, 01.89%, 384, 38, -346, 70.7%, 
false, 433, 02, Norwood School District R-2J Issue 5B, 31013, 1174, 89, 07.58%, 00.29%, 2538, 38, -2500, 94.9%, 
true, 434, [Otero], Otero County Ballot Question 1A, 9039, 9039, 3659, 40.48%, 40.48%, 17, 36, 19, 00.0%, 
true, 437, [Ouray], Ouray County Commissioner - District 1, 4157, 4157, 411, 09.89%, 09.89%, 72, 75, 3, 02.6%, 
false, 439, [Ouray], Ouray County Court - Thomasson, 4157, 4157, 1713, 41.21%, 41.21%, 16, 75, 59, 00.0%, 
false, 440, [Garfield], Parachute Ballot Issue 2B Increase sales and use tax streets, 30750, 468, 87, 18.59%, 00.28%, 2574, 117, -2457, 85.3%, 
true, 441, [Park], Park County Commissioner District 1, 13392, 12228, 1816, 14.85%, 13.56%, 52, 56, 4, 02.3%, 
false, 442, [Park], Park County Commissioner District 2, 13392, 12228, 1878, 15.36%, 14.02%, 51, 56, 5, 02.0%, 
false, 445, [Phillips], Phillips County Court Judge - Killin, 2384, 2384, 1522, 63.84%, 63.84%, 10, 68, 58, 00.0%, 
true, 447, [Pitkin], Pitkin County Ballot Issue 1A: Affordable and Workforce Housing Mill Levy, 11348, 11348, 2091, 18.43%, 18.43%, 38, 41, 3, 02.2%, 
false, 448, [Pitkin], Pitkin County Ballot Issue 1B: County Solid Waste Center Bonds, 11348, 11348, 6731, 59.31%, 59.31%, 11, 41, 30, 00.0%, 
false, 449, [Pitkin], Pitkin County Ballot Question 1C: BOCC Referred Home Rule Charter Amendment, 11348, 11348, 3509, 30.92%, 30.92%, 22, 41, 19, 00.1%, 
false, 450, [Pitkin], Pitkin County Ballot Question 200: Citizen Initiated Home Rule Charter Amendment, 11348, 11348, 2074, 18.28%, 18.28%, 38, 41, 3, 02.3%, 
false, 453, [Pitkin], Pitkin County Commissioner - District 5, 11348, 11348, 3926, 34.60%, 34.60%, 20, 41, 21, 00.1%, 
false, 454, [Pitkin], Pitkin County Court - Andrews, 11348, 11348, 5701, 50.24%, 50.24%, 13, 41, 28, 00.0%, 
false, 455, [Arapahoe], Polo Reserve Metropolitan District Ballot Issue 6A, 351540, 108, 21, 19.44%, 00.01%, 121983, 52, -121931, 99.9%, 
false, 456, [Larimer], Poudre School District R-1 Ballot Issue 4A, 458224, 133149, 17499, 13.14%, 03.82%, 189, 121, -68, 10.6%, 
true, 457, 63, Presidential Electors, 4767518, 3239722, 350348, 10.81%, 07.35%, 98, 707, 609, 00.0%, 
false, 458, 63, Proposition 127 (STATUTORY), 4767518, 3236953, 289847, 08.95%, 06.08%, 118, 707, 589, 00.0%, 
