target, id, NCounties, name, npop, nc, voteDiff, reportedMargin, dilutedMargin, estMvrs, haveMvrs, mvrsExtra, estRisk, 
false, 33, [Arapahoe], Arapahoe County Commissioner - District 3, 351540, 71410, 1756, 02.46%, 00.50%, 1457, 52, -1405, 88.2%, 
false, 34, [Arapahoe], Arapahoe County Commissioner - District 5, 351540, 43867, 14268, 32.53%, 04.06%, 178, 52, -126, 35.8%, 
false, 35, [Arapahoe], Arapahoe County Court - Hernandez, 351540, 330888, 95117, 28.75%, 27.06%, 26, 52, 26, 00.1%, 
false, 36, [Arapahoe], Arapahoe County Court - Williford, 351540, 330888, 97788, 29.55%, 27.82%, 25, 52, 27, 00.1%, 
true, 37, [Archuleta], Archuleta County Commissioner - District 1, 9489, 9489, 1878, 19.79%, 19.79%, 35, 38, 3, 02.2%, 
false, 40, [Jefferson], Arvada Fire Protection District Ballot Question 6A, 367779, 7078, 3557, 50.25%, 00.97%, 752, 66, -686, 73.5%, 
false, 41, [Weld], Ault Fire Protection District Ballot Issue 6A, 182397, 3209, 586, 18.26%, 00.32%, 2267, 87, -2180, 87.4%, 
false, 42, [Weld], Ault Fire Protection District Ballot Issue 6B, 182397, 3209, 528, 16.45%, 00.29%, 2516, 87, -2429, 88.6%, 
false, 43, [Adams], BNC Metropolitan District No 2 Ballot Issue 6N, 468858, 421, 129, 30.64%, 00.03%, 26484, 214, -26270, 97.2%, 
false, 44, [Adams], BNC Metropolitan District No 2 Ballot Question 6M, 468858, 421, 91, 21.62%, 00.02%, 37543, 214, -37329, 98.0%, 
false, 45, 02, BRUSH RURAL FIRE PROTECTION DISTRICT BALLOT ISSUE 7A, 16507, 1068, 104, 09.74%, 00.63%, 1155, 46, -1109, 87.0%, 
false, 49, [Baca], Baca County Court Judge - Lishchuk, 2165, 2034, 30, 01.47%, 01.39%, 524, 91, -433, 54.4%, 
false, 50, [Douglas], Bannock Ballot Issue 6A, 248173, 23, 5, 21.74%, 00.00%, 361685, 62, -361623, 99.9%, 
true, 51, [Bent], Bent County Commissioner-District 1, 2221, 2221, 537, 24.18%, 24.18%, 29, 32, 3, 01.9%, 
false, 53, [Bent], Bent County Court - Clark, 2221, 2221, 748, 33.68%, 33.68%, 20, 32, 12, 00.3%, 
false, 54, [Boulder], Boulder County Commissioner - District 1, 396121, 198600, 142746, 71.88%, 36.04%, 19, 120, 101, 00.0%, 
false, 55, [Boulder], Boulder County Commissioner - District 2, 396121, 198600, 91515, 46.08%, 23.10%, 30, 120, 90, 00.0%, 
false, 57, [Boulder], Boulder County Court - Martin, 396121, 198600, 82792, 41.69%, 20.90%, 33, 120, 87, 00.0%, 
false, 58, [Broomfield], Broomfield Ballot Question 2A, 47543, 47543, 8239, 17.33%, 17.33%, 41, 53, 12, 01.0%, 
false, 59, [Broomfield], Broomfield Ballot Question 2B, 47543, 47543, 17739, 37.31%, 37.31%, 18, 53, 35, 00.0%, 
false, 60, [Broomfield], Broomfield Ballot Question 2C, 47543, 47543, 464, 00.98%, 00.98%, 745, 53, -692, 77.9%, 
false, 61, [Broomfield], Broomfield Ballot Question 2D, 47543, 47543, 10691, 22.49%, 22.49%, 31, 53, 22, 00.2%, 
false, 62, [Broomfield], Broomfield Ballot Question 2E, 47543, 47543, 9993, 21.02%, 21.02%, 33, 53, 20, 00.3%, 
false, 63, [Broomfield], Broomfield Ballot Question 2F, 47543, 47543, 17256, 36.30%, 36.30%, 19, 53, 34, 00.0%, 
true, 64, [Broomfield], Broomfield Ballot Question 2G, 47543, 47543, 6780, 14.26%, 14.26%, 50, 53, 3, 02.3%, 
false, 65, [Broomfield], Broomfield County Court - DeWick, 47543, 47543, 19279, 40.55%, 40.55%, 17, 53, 36, 00.0%, 
false, 66, 02, Byers School District No. 32J Ballot Issue 5C, 820398, 1585, 246, 15.52%, 00.03%, 24300, 121, -24179, 98.3%, 
false, 67, [Fremont], CANON CITY AREA METROPOLITAN RECREATION AND PARK DISTRICT ISSUE #6A OPERATING MILL LEVY, 26051, 15275, 542, 03.55%, 02.08%, 349, 21, -328, 80.9%, 
false, 68, [Fremont], CANON CITY AREA METROPOLITAN RECREATION AND PARK DISTRICT ISSUE #6B POOL DEBT FINANCING, 26051, 15275, 89, 00.58%, 00.34%, 2132, 21, -2111, 96.6%, 
false, 69, [Fremont], CITY OF CANON CITY ISSUE #2A SALES AND USE TAX INCREASE FOR COMMUNITY POOL, 26051, 9130, 611, 06.69%, 02.35%, 309, 21, -288, 78.8%, 
false, 70, [Las Animas], CITY OF TRINIDAD BALLOT ISSUE 2A, 7886, 3952, 645, 16.32%, 08.18%, 88, 40, -48, 20.0%, 
false, 71, [Clear Creek], CLEAR CREEK COUNTY BALLOT ISSUE 1A, 6180, 6180, 3430, 55.50%, 55.50%, 12, 72, 60, 00.0%, 
false, 72, [Clear Creek], CLEAR CREEK COUNTY LIBRARY DISTRICT BALLOT ISSUE 6A, 6180, 6180, 1906, 30.84%, 30.84%, 22, 72, 50, 00.0%, 
false, 73, [El Paso], Calhan School District No. RJ1 Ballot Question 5B, 387297, 2016, 894, 44.35%, 00.23%, 3155, 128, -3027, 86.7%, 
false, 74, [Elbert], Calhan School District RJ1 Question 5B, 20652, 118, 61, 51.69%, 00.30%, 2466, 21, -2445, 97.1%, 
false, 75, [Weld], Carbon Valley Parks and Recreation District Ballot Issue 6C, 182397, 22714, 4026, 17.72%, 02.21%, 329, 87, -242, 39.5%, 
false, 76, [Chaffee], Chaffee County Commissioner - District 1, 14627, 14627, 1868, 12.77%, 12.77%, 56, 89, 33, 00.3%, 
true, 77, [Chaffee], Chaffee County Commissioner - District 2, 14627, 14627, 1220, 08.34%, 08.34%, 86, 89, 3, 02.6%, 
false, 78, [Chaffee], Chaffee County Court - Bull, 14627, 14627, 5433, 37.14%, 37.14%, 18, 89, 71, 00.0%, 
false, 79, [Arapahoe], Cherry Creek School District No. 5 Ballot Issue 4A, 351540, 172327, 21424, 12.43%, 06.09%, 118, 52, -66, 21.2%, 
false, 80, [Arapahoe], Cherry Creek School District No. 5 Ballot Issue 4B, 351540, 172327, 17400, 10.10%, 04.95%, 146, 52, -94, 28.5%, 
false, 84, [El Paso], Cimarron Hills Fire Protection District Ballot Issue 6A, 387297, 7193, 531, 07.38%, 00.14%, 5314, 128, -5186, 91.9%, 
false, 85, [Phillips], City Council Member, 2384, 997, 116, 11.63%, 04.87%, 148, 68, -80, 19.9%, 
false, 86, [Alamosa], City of Alamosa Ballot Issue 2A, 15216, 3791, 376, 09.92%, 02.47%, 293, 65, -228, 45.9%, 
false, 87, [Alamosa], City of Alamosa Ballot Issue 2B, 15216, 3791, 424, 11.18%, 02.79%, 260, 65, -195, 41.6%, 
false, 88, [Pitkin], City of Aspen Ballot Issue 2A: Extension of Real Estate Transfer Tax, 11348, 4556, 1281, 28.12%, 11.29%, 63, 41, -22, 10.1%, 
false, 89, [Pitkin], City of Aspen Ballot Issue 2B: Extension of Existing 0.45% Sales Tax Affordable Housing and Day Care, 11348, 4556, 1814, 39.82%, 15.99%, 44, 41, -3, 03.7%, 
false, 90, [Pitkin], City of Aspen Ballot Issue 2C: Imposition of a Use Tax on Motor Vehicles, 11348, 4556, 2866, 62.91%, 25.26%, 27, 41, 14, 00.5%, 
false, 91, 03, City of Aurora Question 3A, 1068571, 165017, 20891, 12.66%, 01.96%, 371, 158, -213, 22.4%, 
false, 92, [Boulder], City of Boulder Ballot Question 2C, 396121, 57027, 8900, 15.61%, 02.25%, 323, 120, -203, 27.1%, 
false, 93, [Boulder], City of Boulder Ballot Question 2D, 396121, 57027, 6385, 11.20%, 01.61%, 451, 120, -331, 39.3%, 
false, 94, [Boulder], City of Boulder Ballot Question 2E, 396121, 57027, 64, 00.11%, 00.02%, 45101, 120, -44981, 99.1%, 
false, 95, [Gilpin], City of Central Alderman/City Council, 4183, 410, 72, 17.56%, 01.72%, 422, 139, -283, 31.5%, 
false, 96, [Arapahoe], City of Cherry Hills Village Ballot Question 2A, 351540, 4437, 318, 07.17%, 00.09%, 8054, 52, -8002, 97.8%, 
false, 97, [Arapahoe], City of Cherry Hills Village Ballot Question 300, 351540, 4437, 2344, 52.83%, 00.67%, 1091, 52, -1039, 84.6%, 
false, 98, [Arapahoe], City of Cherry Hills Village Balot Question 2B, 351540, 4437, 2613, 58.89%, 00.74%, 979, 52, -927, 83.0%, 
false, 103, [El Paso], City of Colorado Springs Ballot Issue 2C, 387297, 254918, 111448, 43.72%, 28.78%, 24, 128, 104, 00.0%, 
false, 104, [El Paso], City of Colorado Springs Ballot Question 2D, 387297, 254918, 2735, 01.07%, 00.71%, 1031, 128, -903, 64.7%, 
true, 105, [El Paso], City of Colorado Springs Ballot Question 300, 387297, 254918, 22371, 08.78%, 05.78%, 125, 128, 3, 02.7%, 
true, 106, [Moffat], City of Craig Ballot Question 2A, 6699, 4071, 1073, 26.36%, 16.02%, 44, 47, 3, 02.3%, 
false, 107, [Weld], City of Dacono Ballot Question 2G, 182397, 3109, 622, 20.01%, 00.34%, 2135, 87, -2048, 86.7%, 
false, 108, [Weld], City of Dacono Ballot Question 2H, 182397, 3109, 504, 16.21%, 00.28%, 2636, 87, -2549, 89.1%, 
false, 109, [Weld], City of Dacono Ballot Question 2I, 182397, 3109, 146, 04.70%, 00.08%, 9102, 87, -9015, 96.7%, 
false, 110, [Weld], City of Dacono Ballot Question 2J, 182397, 3109, 1584, 50.95%, 00.87%, 838, 87, -751, 69.5%, 
false, 112, [Weld], City of Dacono Mayor, 182397, 3109, 1200, 38.60%, 00.66%, 1106, 87, -1019, 75.9%, 
false, 113, [Arapahoe], City of Englewood Ballot Issue 2C, 351540, 18734, 272, 01.45%, 00.08%, 9416, 52, -9364, 98.1%, 
false, 114, [Arapahoe], City of Englewood Ballot Question  302, 351540, 18734, 5812, 31.02%, 01.65%, 439, 52, -387, 66.0%, 
false, 115, [Arapahoe], City of Englewood Ballot Question 301, 351540, 18734, 10579, 56.47%, 03.01%, 241, 52, -189, 46.8%, 
false, 116, [Weld], City of Evans Mayor, 182397, 8486, 1578, 18.60%, 00.87%, 841, 87, -754, 69.6%, 
false, 120, [Larimer], City of Fort Collins Ballot Issue 2A, 458224, 97348, 50158, 51.52%, 10.95%, 65, 121, 56, 00.1%, 
false, 121, [Larimer], City of Fort Collins Ballot Question 2B, 458224, 97348, 26909, 27.64%, 05.87%, 123, 121, -2, 03.1%, 
false, 122, [Larimer], City of Fort Collins Ballot Question 2C, 458224, 97348, 23713, 24.36%, 05.17%, 139, 121, -18, 04.7%, 
false, 123, [Larimer], City of Fort Collins Ballot Question 2D, 458224, 97348, 23893, 24.54%, 05.21%, 138, 121, -17, 04.6%, 
false, 124, [Weld], City of Fort Lupton Ballot Issue 2B, 182397, 4354, 839, 19.27%, 00.46%, 1583, 87, -1496, 82.5%, 
