county,imprinted_id,cvr_id,contest_count,contest_name
Adams,101-285-1,379206,3,17th Judicial District Ballot Question 7B
Adams,101-285-1,379206,3,Adams County Ballot Issue 1A
Adams,101-285-1,379206,3,Regional Transportation District Ballot Issue 7A
Adams,101-484-89,667784,4,17th Judicial District Ballot Question 7B
Adams,101-484-89,667784,4,Adams County Ballot Issue 1A
Adams,101-484-89,667784,4,Regional Transportation District Ballot Issue 7A
Adams,101-484-89,667784,4,South Adams County Water and Sanitation District Ballot Issue No. 6A
Adams,102-287-59,549461,4,17th Judicial District Ballot Question 7B
Adams,102-287-59,549461,4,Adams County Ballot Issue 1A
Adams,102-287-59,549461,4,Regional Transportation District Ballot Issue 7A
Adams,102-287-59,549461,4,South Adams County Water and Sanitation District Ballot Issue No. 6A
Adams,102-53-9,53971,3,17th Judicial District Ballot Question 7B
Adams,102-53-9,53971,3,Adams County Ballot Issue 1A
Adams,102-53-9,53971,3,Regional Transportation District Ballot Issue 7A
Adams,102-71-40,58345,4,17th Judicial District Ballot Question 7B
Adams,102-71-40,58345,4,Adams County Ballot Issue 1A
Adams,102-71-40,58345,4,City of Thornton Question 2A
Adams,102-71-40,58345,4,Regional Transportation District Ballot Issue 7A
Adams,103-145-9,106491,4,17th Judicial District Ballot Question 7B
Adams,103-145-9,106491,4,Adams County Ballot Issue 1A
Adams,103-145-9,106491,4,City of Thornton Question 2A
Adams,103-145-9,106491,4,Regional Transportation District Ballot Issue 7A
Adams,103-464-83,448128,4,17th Judicial District Ballot Question 7B
Adams,103-464-83,448128,4,Adams County Ballot Issue 1A
Adams,103-464-83,448128,4,City of Thornton Question 2A
Adams,103-464-83,448128,4,Regional Transportation District Ballot Issue 7A
Adams,103-470-87,452172,4,17th Judicial District Ballot Question 7B
Adams,103-470-87,452172,4,Adams County Ballot Issue 1A
Adams,103-470-87,452172,4,Regional Transportation District Ballot Issue 7A
Adams,103-470-87,452172,4,South Adams County Water and Sanitation District Ballot Issue No. 6A
Adams,103-482-7,464133,4,17th Judicial District Ballot Question 7B
Adams,103-482-7,464133,4,Adams County Ballot Issue 1A
Adams,103-482-7,464133,4,Regional Transportation District Ballot Issue 7A
Adams,103-482-7,464133,4,South Adams County Water and Sanitation District Ballot Issue No. 6A
Adams,103-503-55,484011,2,17th Judicial District Ballot Question 7B
Adams,103-503-55,484011,2,Adams County Ballot Issue 1A
Adams,103-583-54,592501,4,17th Judicial District Ballot Question 7B
Adams,103-583-54,592501,4,Adams County Ballot Issue 1A
Adams,103-583-54,592501,4,Regional Transportation District Ballot Issue 7A
Adams,103-583-54,592501,4,South Adams County Water and Sanitation District Ballot Issue No. 6A
Adams,104-126-66,442320,4,17th Judicial District Ballot Question 7B
Adams,104-126-66,442320,4,Adams County Ballot Issue 1A
Adams,104-126-66,442320,4,Regional Transportation District Ballot Issue 7A
Adams,104-126-66,442320,4,Westminster Public Schools Ballot Issue 4C
Adams,104-242-54,734194,4,17th Judicial District Ballot Question 7B
Adams,104-242-54,734194,4,Adams County Ballot Issue 1A
Adams,104-242-54,734194,4,Regional Transportation District Ballot Issue 7A
Adams,104-242-54,734194,4,South Adams County Water and Sanitation District Ballot Issue No. 6A
Adams,105-131-31,360119,4,17th Judicial District Ballot Question 7B
Adams,105-131-31,360119,4,Adams County Ballot Issue 1A
Adams,105-131-31,360119,4,Regional Transportation District Ballot Issue 7A
Adams,105-131-31,360119,4,South Adams County Water and Sanitation District Ballot Issue No. 6A
Adams,106-207-16,172640,4,17th Judicial District Ballot Question 7B
Adams,106-207-16,172640,4,Adams County Ballot Issue 1A
Adams,106-207-16,172640,4,Regional Transportation District Ballot Issue 7A
Adams,106-207-16,172640,4,South Adams County Water and Sanitation District Ballot Issue No. 6A
Adams,106-288-33,247980,4,17th Judicial District Ballot Question 7B
Adams,106-288-33,247980,4,Adams County Ballot Issue 1A
Adams,106-288-33,247980,4,Regional Transportation District Ballot Issue 7A
Adams,106-288-33,247980,4,South Adams County Water and Sanitation District Ballot Issue No. 6A
Adams,106-523-33,494898,4,17th Judicial District Ballot Question 7B
Adams,106-523-33,494898,4,Adams County Ballot Issue 1A
Adams,106-523-33,494898,4,City of Thornton Question 2A
Adams,106-523-33,494898,4,Regional Transportation District Ballot Issue 7A
Adams,106-586-12,543942,4,17th Judicial District Ballot Question 7B
Adams,106-586-12,543942,4,Adams County Ballot Issue 1A
Adams,106-586-12,543942,4,City of Thornton Question 2A
Adams,106-586-12,543942,4,Regional Transportation District Ballot Issue 7A
