contest_name,county,imprinted_id
Jefferson County Commissioner - District 2,Jefferson,107-82-182
Jefferson County Commissioner - District 2,Jefferson,108-17-152
Jefferson County Commissioner - District 2,Jefferson,108-41-36
Jefferson County Commissioner - District 2,Jefferson,109-20-152
Jefferson County Commissioner - District 2,Jefferson,109-254-57
Jefferson County Commissioner - District 2,Jefferson,109-256-166
Jefferson County Commissioner - District 2,Jefferson,110-118-123
Jefferson County Commissioner - District 2,Jefferson,110-30-58
La Plata County Commissioner District 3,La Plata,103-67-7
Larimer County Clerk and Recorder,Larimer,104-127-44
Larimer County Clerk and Recorder,Larimer,104-159-94
Larimer County Clerk and Recorder,Larimer,105-150-32
Larimer County Clerk and Recorder,Larimer,105-169-76
Larimer County Clerk and Recorder,Larimer,106-58-164
Larimer County Clerk and Recorder,Larimer,110-174-24
Larimer County Clerk and Recorder,Larimer,110-55-69
Larimer County Clerk and Recorder,Larimer,111-110-23
Larimer County Clerk and Recorder,Larimer,112-145-87
Larimer County Clerk and Recorder,Larimer,112-237-12
Mesa County Ballot Issue 1A,Mesa,202-2128-16
Mesa County Ballot Issue 1A,Mesa,402-4077-67
Mesa County Ballot Issue 1A,Mesa,402-4342-94
Mesa County Ballot Issue 1A,Mesa,402-4344-31
Montezuma County Ballot Issue 1-A,Montezuma,102-133-17
Montrose County Commissioner - District 3,Montrose,102-344-49
Otero County Ballot Question 1A,Otero,102-65-4
Pueblo County Commissioner - District 2,Pueblo,102-466-31
Pueblo County Commissioner - District 2,Pueblo,105-367-81
Pueblo County Commissioner - District 2,Pueblo,105-479-49
Pueblo County Commissioner - District 2,Pueblo,111-195-51
Saguache County Commissioner District 1,Saguache,102-1-15
Saguache County Commissioner District 1,Saguache,102-10-23
Saguache County Commissioner District 1,Saguache,102-100-2
Saguache County Commissioner District 1,Saguache,102-101-22
Saguache County Commissioner District 1,Saguache,102-101-23
Saguache County Commissioner District 1,Saguache,102-104-1
Saguache County Commissioner District 1,Saguache,102-104-7
Saguache County Commissioner District 1,Saguache,102-106-14
Saguache County Commissioner District 1,Saguache,102-107-2
Saguache County Commissioner District 1,Saguache,102-109-23
Saguache County Commissioner District 1,Saguache,102-110-15
Saguache County Commissioner District 1,Saguache,102-112-8
Saguache County Commissioner District 1,Saguache,102-113-15
Saguache County Commissioner District 1,Saguache,102-113-21
Saguache County Commissioner District 1,Saguache,102-114-21
Saguache County Commissioner District 1,Saguache,102-115-10
Saguache County Commissioner District 1,Saguache,102-116-13
Saguache County Commissioner District 1,Saguache,102-12-14
Saguache County Commissioner District 1,Saguache,102-122-17
Saguache County Commissioner District 1,Saguache,102-122-19
Saguache County Commissioner District 1,Saguache,102-122-4
Saguache County Commissioner District 1,Saguache,102-124-23
Saguache County Commissioner District 1,Saguache,102-125-18
Saguache County Commissioner District 1,Saguache,102-127-14
Saguache County Commissioner District 1,Saguache,102-127-15
Saguache County Commissioner District 1,Saguache,102-128-9
Saguache County Commissioner District 1,Saguache,102-129-19
Saguache County Commissioner District 1,Saguache,102-131-10
Saguache County Commissioner District 1,Saguache,102-133-8
Saguache County Commissioner District 1,Saguache,102-136-11
Saguache County Commissioner District 1,Saguache,102-138-2
Saguache County Commissioner District 1,Saguache,102-138-29
Saguache County Commissioner District 1,Saguache,102-16-12
Saguache County Commissioner District 1,Saguache,102-17-22
Saguache County Commissioner District 1,Saguache,102-18-11
Saguache County Commissioner District 1,Saguache,102-18-21
Saguache County Commissioner District 1,Saguache,102-19-22
Saguache County Commissioner District 1,Saguache,102-19-23
Saguache County Commissioner District 1,Saguache,102-20-16
Saguache County Commissioner District 1,Saguache,102-20-4
Saguache County Commissioner District 1,Saguache,102-21-11
Saguache County Commissioner District 1,Saguache,102-23-20
Saguache County Commissioner District 1,Saguache,102-25-19
Saguache County Commissioner District 1,Saguache,102-26-17
Saguache County Commissioner District 1,Saguache,102-26-21
Saguache County Commissioner District 1,Saguache,102-26-4
Saguache County Commissioner District 1,Saguache,102-27-15
Saguache County Commissioner District 1,Saguache,102-27-16
Saguache County Commissioner District 1,Saguache,102-29-5
Saguache County Commissioner District 1,Saguache,102-3-1
Saguache County Commissioner District 1,Saguache,102-31-10
Saguache County Commissioner District 1,Saguache,102-32-15
Saguache County Commissioner District 1,Saguache,102-35-17
Saguache County Commissioner District 1,Saguache,102-37-4
Saguache County Commissioner District 1,Saguache,102-38-18
Saguache County Commissioner District 1,Saguache,102-39-9
Saguache County Commissioner District 1,Saguache,102-40-19
Saguache County Commissioner District 1,Saguache,102-41-10
Saguache County Commissioner District 1,Saguache,102-42-21
Saguache County Commissioner District 1,Saguache,102-43-13
Saguache County Commissioner District 1,Saguache,102-43-15
Saguache County Commissioner District 1,Saguache,102-44-2
Saguache County Commissioner District 1,Saguache,102-45-18
Saguache County Commissioner District 1,Saguache,102-45-2
Saguache County Commissioner District 1,Saguache,102-45-5
Saguache County Commissioner District 1,Saguache,102-47-6
Saguache County Commissioner District 1,Saguache,102-47-7
Saguache County Commissioner District 1,Saguache,102-48-17
Saguache County Commissioner District 1,Saguache,102-48-20
Saguache County Commissioner District 1,Saguache,102-5-16
Saguache County Commissioner District 1,Saguache,102-5-24
Saguache County Commissioner District 1,Saguache,102-5-4
Saguache County Commissioner District 1,Saguache,102-5-9
Saguache County Commissioner District 1,Saguache,102-51-13
Saguache County Commissioner District 1,Saguache,102-52-5
Saguache County Commissioner District 1,Saguache,102-54-10
Saguache County Commissioner District 1,Saguache,102-55-21
Saguache County Commissioner District 1,Saguache,102-55-22
Saguache County Commissioner District 1,Saguache,102-6-8
Saguache County Commissioner District 1,Saguache,102-60-6
Saguache County Commissioner District 1,Saguache,102-63-11
Saguache County Commissioner District 1,Saguache,102-64-12
Saguache County Commissioner District 1,Saguache,102-66-1
Saguache County Commissioner District 1,Saguache,102-68-12
Saguache County Commissioner District 1,Saguache,102-68-13
Saguache County Commissioner District 1,Saguache,102-68-14
Saguache County Commissioner District 1,Saguache,102-69-11
Saguache County Commissioner District 1,Saguache,102-69-16
Saguache County Commissioner District 1,Saguache,102-7-2
Saguache County Commissioner District 1,Saguache,102-7-4
Saguache County Commissioner District 1,Saguache,102-70-5
Saguache County Commissioner District 1,Saguache,102-72-19
Saguache County Commissioner District 1,Saguache,102-74-17
Saguache County Commissioner District 1,Saguache,102-74-23
Saguache County Commissioner District 1,Saguache,102-75-1
Saguache County Commissioner District 1,Saguache,102-76-9
Saguache County Commissioner District 1,Saguache,102-78-2
Saguache County Commissioner District 1,Saguache,102-79-4
Saguache County Commissioner District 1,Saguache,102-79-5
Saguache County Commissioner District 1,Saguache,102-82-11
Saguache County Commissioner District 1,Saguache,102-82-2
Saguache County Commissioner District 1,Saguache,102-85-18
Saguache County Commissioner District 1,Saguache,102-86-12
Saguache County Commissioner District 1,Saguache,102-87-24
Saguache County Commissioner District 1,Saguache,102-89-14
Saguache County Commissioner District 1,Saguache,102-89-16
Saguache County Commissioner District 1,Saguache,102-89-6
Saguache County Commissioner District 1,Saguache,102-91-20
Saguache County Commissioner District 1,Saguache,102-92-16
Saguache County Commissioner District 1,Saguache,102-92-7
Saguache County Commissioner District 1,Saguache,102-94-15
Saguache County Commissioner District 1,Saguache,102-95-16
Saguache County Commissioner District 1,Saguache,102-96-6
Saguache County Commissioner District 1,Saguache,102-98-4
Saguache County Commissioner District 1,Saguache,102-98-8
Saguache County Commissioner District 1,Saguache,102-99-4
San Miguel County Ballot Question 1A,San Miguel,102-81-23
State Representative - District 10,Boulder,101-362-181
State Representative - District 10,Boulder,106-63-127
Summit School District RE-1 Ballot Issue 4A,Summit,102-450-1
Summit School District RE-1 Ballot Issue 4A,Summit,102-556-2
Teller County Ballot Question 1A,Teller,102-212-24
Teller County Ballot Question 1A,Teller,102-277-9
Teller County Ballot Question 1A,Teller,102-478-13
Yuma County Court - Jones,Yuma,102-81-9
