contest_name,county,imprinted_id
Adams County Commissioner - District 5,Adams,101-2-51
Adams County Commissioner - District 5,Adams,101-531-34
Adams County Commissioner - District 5,Adams,101-588-60
Adams County Commissioner - District 5,Adams,103-272-16
Adams County Commissioner - District 5,Adams,103-410-62
Adams County Commissioner - District 5,Adams,104-199-71
Adams County Commissioner - District 5,Adams,105-137-22
Adams County Commissioner - District 5,Adams,106-411-74
Adams County Commissioner - District 5,Adams,106-669-1
Adams County Commissioner - District 5,Adams,108-71-8
Adams County Commissioner - District 5,Adams,109-133-21
Adams County Commissioner - District 5,Adams,109-145-12
Adams County Commissioner - District 5,Adams,109-288-74
Adams County Commissioner - District 5,Adams,109-438-34
Adams County Commissioner - District 5,Adams,109-532-66
Adams County Commissioner - District 5,Adams,109-587-19
Adams County Commissioner - District 5,Adams,110-148-96
Alamosa County Commissioner - District 1,Alamosa,102-79-7
Broomfield Ballot Question 2G,Broomfield,105-182-36
Broomfield Ballot Question 2G,Broomfield,105-547-31
Broomfield Ballot Question 2G,Broomfield,105-555-34
City of Colorado Springs Ballot Question 300,El Paso,201-154-9
City of Colorado Springs Ballot Question 300,El Paso,201-461-23
City of Colorado Springs Ballot Question 300,El Paso,201-763-1
City of Colorado Springs Ballot Question 300,El Paso,301-207-65
City of Colorado Springs Ballot Question 300,El Paso,301-210-65
City of Colorado Springs Ballot Question 300,El Paso,301-280-41
City of Colorado Springs Ballot Question 300,El Paso,301-495-43
City of Colorado Springs Ballot Question 300,El Paso,401-313-42
City of Colorado Springs Ballot Question 300,El Paso,401-499-95
City of Colorado Springs Ballot Question 300,El Paso,401-537-68
City of Colorado Springs Ballot Question 300,El Paso,401-578-77
City of Colorado Springs Ballot Question 300,El Paso,501-183-6
City of Colorado Springs Ballot Question 300,El Paso,601-432-43
City of Colorado Springs Ballot Question 300,El Paso,602-171-61
City of Colorado Springs Ballot Question 300,El Paso,701-448-8
City of Colorado Springs Ballot Question 300,El Paso,701-584-26
City of Colorado Springs Ballot Question 300,El Paso,702-40-42
City of Fort Morgan Ballot Question 2A,Morgan,102-201-41
Clear Creek County Commissioner - District 3,Clear Creek,102-33-42
Delta County Court - Zeerip,Delta,102-104-10
Delta County Court - Zeerip,Delta,102-389-20
Delta County Court - Zeerip,Delta,102-391-34
Denver Ballot Issue 2Q,Denver,101-902-43
Denver Ballot Issue 2Q,Denver,102-654-75
Denver Ballot Issue 2Q,Denver,102-784-73
Denver Ballot Issue 2Q,Denver,102-83-10
Denver Ballot Issue 2Q,Denver,103-218-93
Denver Ballot Issue 2Q,Denver,103-290-35
Denver Ballot Issue 2Q,Denver,103-317-66
Denver Ballot Issue 2Q,Denver,103-661-32
Denver Ballot Issue 2Q,Denver,103-68-23
Denver Ballot Issue 2Q,Denver,103-872-35
Denver Ballot Issue 2Q,Denver,103-997-15
Denver Ballot Issue 2Q,Denver,104-239-38
Denver Ballot Issue 2Q,Denver,104-464-74
Denver Ballot Issue 2Q,Denver,104-609-100
Denver Ballot Issue 2Q,Denver,105-64-3
Denver Ballot Issue 2Q,Denver,107-21-25
Denver Ballot Issue 2Q,Denver,107-292-17
Denver Ballot Issue 2Q,Denver,108-82-64
Denver Ballot Issue 2Q,Denver,109-333-18
Denver Ballot Issue 2Q,Denver,110-283-50
Denver Ballot Issue 2Q,Denver,110-382-82
Denver Ballot Issue 2Q,Denver,111-249-59
Denver Ballot Issue 2Q,Denver,112-365-39
Denver Ballot Issue 2Q,Denver,112-78-30
Denver Ballot Issue 2Q,Denver,113-335-5
Denver Ballot Issue 2Q,Denver,114-199-97
Denver Ballot Issue 2Q,Denver,121-388-1
District Attorney - 18th Judicial District,Arapahoe,103-29-81
District Attorney - 18th Judicial District,Arapahoe,103-30-22
District Attorney - 18th Judicial District,Arapahoe,103-355-23
District Attorney - 18th Judicial District,Arapahoe,103-37-50
District Attorney - 18th Judicial District,Arapahoe,103-390-78
District Attorney - 18th Judicial District,Arapahoe,103-402-26
District Attorney - 18th Judicial District,Arapahoe,104-180-33
District Attorney - 18th Judicial District,Arapahoe,104-53-40
District Attorney - 18th Judicial District,Arapahoe,105-289-44
District Attorney - 18th Judicial District,Arapahoe,105-63-22
District Attorney - 18th Judicial District,Arapahoe,106-85-34
District Attorney - 18th Judicial District,Arapahoe,107-399-53
District Attorney - 18th Judicial District,Arapahoe,108-207-52
District Attorney - 18th Judicial District,Arapahoe,108-383-67
District Attorney - 18th Judicial District,Arapahoe,108-583-86
District Attorney - 18th Judicial District,Arapahoe,110-257-46
District Attorney - 18th Judicial District,Arapahoe,111-8-88
District Attorney - 18th Judicial District,Elbert,101-110-26
District Attorney - 18th Judicial District,Elbert,101-16-3
District Attorney - 18th Judicial District,Elbert,101-193-16
District Attorney - 18th Judicial District,Elbert,101-194-18
District Attorney - 18th Judicial District,Elbert,101-215-3
District Attorney - 18th Judicial District,Elbert,101-22-38
District Attorney - 18th Judicial District,Elbert,101-240-22
District Attorney - 18th Judicial District,Elbert,101-262-31
District Attorney - 18th Judicial District,Elbert,101-283-11
District Attorney - 18th Judicial District,Elbert,101-322-35
District Attorney - 18th Judicial District,Elbert,101-351-47
District Attorney - 18th Judicial District,Elbert,101-369-28
District Attorney - 18th Judicial District,Elbert,101-372-12
District Attorney - 18th Judicial District,Elbert,101-42-37
District Attorney - 18th Judicial District,Elbert,101-45-50
District Attorney - 18th Judicial District,Elbert,101-67-46
District Attorney - 18th Judicial District,Elbert,101-98-23
District Attorney - 18th Judicial District,Elbert,102-12-34
District Attorney - 18th Judicial District,Elbert,102-15-21
District Court Judge - 19th Judicial District - Crowther,Weld,101-144-79
District Court Judge - 19th Judicial District - Crowther,Weld,101-65-60
District Court Judge - 19th Judicial District - Crowther,Weld,102-49-26
District Court Judge - 19th Judicial District - Crowther,Weld,103-117-55
District Court Judge - 19th Judicial District - Crowther,Weld,103-212-20
District Court Judge - 19th Judicial District - Crowther,Weld,103-215-34
District Court Judge - 19th Judicial District - Crowther,Weld,103-60-25
District Court Judge - 19th Judicial District - Crowther,Weld,104-121-2
District Court Judge - 19th Judicial District - Crowther,Weld,104-181-82
District Court Judge - 19th Judicial District - Crowther,Weld,104-79-50
District Court Judge - 19th Judicial District - Crowther,Weld,105-115-65
District Court Judge - 19th Judicial District - Crowther,Weld,105-65-93
District Court Judge - 19th Judicial District - Crowther,Weld,105-67-96
District Court Judge - 19th Judicial District - Crowther,Weld,106-105-10
District Court Judge - 19th Judicial District - Crowther,Weld,108-14-66
Douglas County Commissioner - District 2,Douglas,1-GEN-0372-52
Douglas County Commissioner - District 2,Douglas,1-GEN-0798-96
Douglas County Commissioner - District 2,Douglas,1-GEN-0959-38
Douglas County Commissioner - District 2,Douglas,1-GEN-1211-83
Douglas County Commissioner - District 2,Douglas,1-GEN-1628-61
Douglas County Commissioner - District 2,Douglas,1-GEN-1636-14
Douglas County Commissioner - District 2,Douglas,1-GEN-1853-51
Douglas County Commissioner - District 2,Douglas,1-GEN-2152-42
Douglas County Commissioner - District 2,Douglas,1-GEN-2389-56
Douglas County Commissioner - District 2,Douglas,1-GEN-2680-145
Douglas County Commissioner - District 2,Douglas,1-GEN-2687-74
Eagle County Commissioner - District 1,Eagle,101-1140-22
Eagle County Commissioner - District 1,Eagle,101-687-11
Elbert County Question 1A,Elbert,101-108-46
Elbert County Question 1A,Elbert,101-137-25
Elbert County Question 1A,Elbert,101-171-15
Elbert County Question 1A,Elbert,101-193-16
Elbert County Question 1A,Elbert,101-322-35
Elbert County Question 1A,Elbert,101-358-18
Fremont County Board of County Commissioners - District 3,Fremont,102-56-14
Gilpin County Commissioner - District 1,Gilpin,104-95-1
Huerfano County Commissioner - District 1,Huerfano,102-40-23
Jefferson County Commissioner - District 2,Jefferson,101-152-113
Jefferson County Commissioner - District 2,Jefferson,101-99-121
Jefferson County Commissioner - District 2,Jefferson,102-46-122
Jefferson County Commissioner - District 2,Jefferson,103-127-66
Jefferson County Commissioner - District 2,Jefferson,103-19-192
Jefferson County Commissioner - District 2,Jefferson,103-23-19
Jefferson County Commissioner - District 2,Jefferson,103-6-198
Jefferson County Commissioner - District 2,Jefferson,103-83-11
Jefferson County Commissioner - District 2,Jefferson,104-36-117
Jefferson County Commissioner - District 2,Jefferson,104-50-77
Jefferson County Commissioner - District 2,Jefferson,104-9-171
Jefferson County Commissioner - District 2,Jefferson,105-178-21
Jefferson County Commissioner - District 2,Jefferson,105-24-104
Jefferson County Commissioner - District 2,Jefferson,106-96-115
Jefferson County Commissioner - District 2,Jefferson,107-34-34
Jefferson County Commissioner - District 2,Jefferson,107-70-131
