contest_name,sequence,round,county,imprinted_id,status,reason
Adams County Commissioner - District 5,2,1,Adams,109-176-83,ok,
Adams County Commissioner - District 5,5,1,Adams,112-181-82,ok,
Adams County Commissioner - District 5,6,1,Adams,101-510-83,ok,
Adams County Commissioner - District 5,8,1,Adams,112-381-10,ok,
Adams County Commissioner - District 5,9,1,Adams,107-145-18,ok,
Adams County Commissioner - District 5,10,1,Adams,103-175-70,ok,
Adams County Commissioner - District 5,14,1,Adams,109-422-33,ok,
Adams County Commissioner - District 5,18,1,Adams,110-382-53,ok,
Adams County Commissioner - District 5,21,1,Adams,101-409-17,ok,
Adams County Commissioner - District 5,23,1,Adams,103-145-9,ok,
Adams County Commissioner - District 5,25,1,Adams,102-147-14,ok,
Adams County Commissioner - District 5,26,1,Adams,109-3-14,ok,
Adams County Commissioner - District 5,27,1,Adams,106-205-82,ok,
Adams County Commissioner - District 5,28,1,Adams,109-306-76,ok,
Adams County Commissioner - District 5,32,1,Adams,109-121-11,ok,
Adams County Commissioner - District 5,33,1,Adams,103-562-15,ok,
Adams County Commissioner - District 5,35,1,Adams,109-387-72,ok,
Adams County Commissioner - District 5,36,1,Adams,107-145-24,ok,
Adams County Commissioner - District 5,37,1,Adams,101-566-84,ok,
Adams County Commissioner - District 5,40,1,Adams,102-53-9,ok,
Adams County Commissioner - District 5,41,1,Adams,103-53-106,ok,
Adams County Commissioner - District 5,43,1,Adams,107-199-31,ok,
Adams County Commissioner - District 5,45,1,Adams,101-146-54,ok,
Adams County Commissioner - District 5,46,1,Adams,106-57-92,ok,
Adams County Commissioner - District 5,47,1,Adams,109-281-59,ok,
Adams County Commissioner - District 5,50,1,Adams,103-415-15,ok,
Adams County Commissioner - District 5,52,1,Adams,103-464-83,ok,
Adams County Commissioner - District 5,53,1,Adams,109-421-61,ok,
Adams County Commissioner - District 5,55,1,Adams,109-247-56,ok,
Adams County Commissioner - District 5,56,1,Adams,104-110-70,ok,
Adams County Commissioner - District 5,59,1,Adams,112-273-71,ok,
Adams County Commissioner - District 5,60,1,Adams,112-201-92,ok,
Adams County Commissioner - District 5,61,1,Adams,108-93-24,ok,
Adams County Commissioner - District 5,62,1,Adams,106-10-16,ok,
Adams County Commissioner - District 5,66,1,Adams,112-52-39,ok,
Adams County Commissioner - District 5,71,1,Adams,110-224-41,ok,
Adams County Commissioner - District 5,72,1,Adams,103-482-7,ok,
Adams County Commissioner - District 5,77,1,Adams,110-335-48,ok,
Adams County Commissioner - District 5,79,1,Adams,106-523-33,ok,
Adams County Commissioner - District 5,83,1,Adams,103-191-84,ok,
Adams County Commissioner - District 5,85,1,Adams,106-8-100,ok,
Adams County Commissioner - District 5,86,1,Adams,109-220-65,ok,
Adams County Commissioner - District 5,87,1,Adams,107-214-67,ok,
Adams County Commissioner - District 5,88,1,Adams,110-37-5,ok,
Adams County Commissioner - District 5,89,1,Adams,101-554-40,ok,
Adams County Commissioner - District 5,91,1,Adams,109-308-22,ok,
Adams County Commissioner - District 5,94,1,Adams,109-383-7,ok,
Adams County Commissioner - District 5,98,1,Adams,103-503-55,ok,
Adams County Commissioner - District 5,99,1,Adams,103-470-87,ok,
Adams County Commissioner - District 5,100,1,Adams,109-119-57,ok,
Adams County Commissioner - District 5,102,1,Adams,110-156-3,ok,
Adams County Commissioner - District 5,103,1,Adams,106-634-44,ok,
Adams County Commissioner - District 5,113,1,Adams,106-218-26,ok,
Adams County Commissioner - District 5,117,1,Adams,109-322-42,ok,
Adams County Commissioner - District 5,118,1,Adams,105-131-31,ok,
Adams County Commissioner - District 5,124,1,Adams,109-371-46,ok,
Adams County Commissioner - District 5,128,1,Adams,106-615-17,ok,
Adams County Commissioner - District 5,129,1,Adams,103-356-61,ok,
Adams County Commissioner - District 5,130,1,Adams,110-42-95,ok,
Adams County Commissioner - District 5,134,1,Adams,102-71-40,ok,
Adams County Commissioner - District 5,135,1,Adams,106-445-37,ok,
Adams County Commissioner - District 5,137,1,Adams,104-191-71,ok,
Adams County Commissioner - District 5,140,1,Adams,106-634-34,ok,
Adams County Commissioner - District 5,141,1,Adams,104-29-15,ok,
Adams County Commissioner - District 5,142,1,Adams,109-111-7,ok,
Adams County Commissioner - District 5,146,1,Adams,108-28-99,ok,
Adams County Commissioner - District 5,147,1,Adams,106-42-89,ok,
Adams County Commissioner - District 5,148,1,Adams,108-42-88,ok,
Adams County Commissioner - District 5,149,1,Adams,104-242-54,ok,
Adams County Commissioner - District 5,150,1,Adams,110-53-86,ok,
Adams County Commissioner - District 5,152,1,Adams,101-370-71,ok,
Adams County Commissioner - District 5,154,1,Adams,101-402-64,ok,
Adams County Commissioner - District 5,155,1,Adams,112-288-83,ok,
Adams County Commissioner - District 5,156,1,Adams,106-207-16,ok,
Adams County Commissioner - District 5,157,1,Adams,104-126-66,ok,
Adams County Commissioner - District 5,158,1,Adams,101-130-14,ok,
Adams County Commissioner - District 5,159,1,Adams,102-69-97,ok,
Adams County Commissioner - District 5,160,1,Adams,104-163-45,ok,
Adams County Commissioner - District 5,162,1,Adams,112-80-87,ok,
Adams County Commissioner - District 5,163,1,Adams,109-395-78,ok,
Adams County Commissioner - District 5,165,1,Adams,105-28-77,ok,
Adams County Commissioner - District 5,166,1,Adams,109-339-57,ok,
Adams County Commissioner - District 5,173,1,Adams,101-101-7,ok,
