county,imprinted_id,cvr_id,contests,rounds,other_pairs
Adams,104-102-5,426142,17th Judicial District Ballot Question 7B;Adams 12 Five Star Schools Ballot Issue 5D;Adams 12 Five Star Schools Ballot Issue 5E;Adams County Ballot Issue 1A;City of Thornton Question 2A;Regional Transportation District Ballot Issue 7A,1;2;3,
Adams,104-123-73,440161,17th Judicial District Ballot Question 7B;Adams 12 Five Star Schools Ballot Issue 5D;Adams 12 Five Star Schools Ballot Issue 5E;Adams County Ballot Issue 1A;City of Thornton Question 2A;Regional Transportation District Ballot Issue 7A,1;2;3,
Adams,104-199-71,522527,Adams County Commissioner - District 1;Adams County Commissioner - District 2;Adams County Commissioner - District 5;Adams County Court Judge - Dinnel;Adams County Court Judge - Flaum;Adams County Court Judge - Ivey;Adams County Court Judge - Jean;Adams County Court Judge - Kirby;Adams County Court Judge - Nowak;Amendment 79 (CONSTITUTIONAL);Amendment 80 (CONSTITUTIONAL);Amendment G (CONSTITUTIONAL);Amendment H (CONSTITUTIONAL);Amendment I (CONSTITUTIONAL);Amendment J (CONSTITUTIONAL);Amendment K (CONSTITUTIONAL);Colorado Court of Appeals Judge - Dunn;Colorado Court of Appeals Judge - Jones;Colorado Court of Appeals Judge - Kuhn;Colorado Court of Appeals Judge - Roman;Colorado Court of Appeals Judge - Schutz;Colorado Supreme Court Justice - Berkenkotter;Colorado Supreme Court Justice - Boatright;Colorado Supreme Court Justice - Marquez;District Attorney - 17th Judicial District;District Court Judge - 17th Judicial District - Holbrook;District Court Judge - 17th Judicial District - Martin;District Court Judge - 17th Judicial District - Vasquez;Presidential Electors;Proposition 127 (STATUTORY);Proposition 128 (STATUTORY);Proposition 129 (STATUTORY);Proposition 130 (STATUTORY);Proposition 131 (STATUTORY);Proposition JJ (STATUTORY);Proposition KK (STATUTORY);Regent of the University of Colorado - At Large;Representative to the 119th United States Congress - District 8;State Board of Education Member - Congressional District 8;State Representative - District 32;State Senator - District 21,1;2;3,
Adams,105-137-22,370798,Adams County Commissioner - District 1;Adams County Commissioner - District 2;Adams County Commissioner - District 5;Adams County Court Judge - Dinnel;Adams County Court Judge - Flaum;Adams County Court Judge - Ivey;Adams County Court Judge - Jean;Adams County Court Judge - Kirby;Adams County Court Judge - Nowak;Amendment 79 (CONSTITUTIONAL);Amendment 80 (CONSTITUTIONAL);Amendment G (CONSTITUTIONAL);Amendment H (CONSTITUTIONAL);Amendment I (CONSTITUTIONAL);Amendment J (CONSTITUTIONAL);Amendment K (CONSTITUTIONAL);Colorado Court of Appeals Judge - Dunn;Colorado Court of Appeals Judge - Jones;Colorado Court of Appeals Judge - Kuhn;Colorado Court of Appeals Judge - Roman;Colorado Court of Appeals Judge - Schutz;Colorado Supreme Court Justice - Berkenkotter;Colorado Supreme Court Justice - Boatright;Colorado Supreme Court Justice - Marquez;District Attorney - 17th Judicial District;District Court Judge - 17th Judicial District - Holbrook;District Court Judge - 17th Judicial District - Martin;District Court Judge - 17th Judicial District - Vasquez;Presidential Electors;Proposition 127 (STATUTORY);Proposition 128 (STATUTORY);Proposition 129 (STATUTORY);Proposition 130 (STATUTORY);Proposition 131 (STATUTORY);Proposition JJ (STATUTORY);Proposition KK (STATUTORY);Regent of the University of Colorado - At Large;Representative to the 119th United States Congress - District 8;State Board of Education Member - Congressional District 8;State Representative - District 34,1;2;3,
Adams,105-176-88,443474,17th Judicial District Ballot Question 7B;Adams County Ballot Issue 1A;Adams-Arapahoe School District 28J Ballot Issue 5A;Adams-Arapahoe School District 28J Ballot Issue 5B;City of Aurora Question 3A;Regional Transportation District Ballot Issue 7A,1;2;3,
Adams,105-40-43,269418,17th Judicial District Ballot Question 7B;Adams 12 Five Star Schools Ballot Issue 5D;Adams 12 Five Star Schools Ballot Issue 5E;Adams County Ballot Issue 1A;Regional Transportation District Ballot Issue 7A,1;2;3,
Adams,106-288-33,247980,17th Judicial District Ballot Question 7B;Adams County Ballot Issue 1A;Regional Transportation District Ballot Issue 7A;South Adams County Water and Sanitation District Ballot Issue No. 6A,1;2;3,
Adams,106-309-98,275052,17th Judicial District Ballot Question 7B;Adams 12 Five Star Schools Ballot Issue 5D;Adams 12 Five Star Schools Ballot Issue 5E;Adams County Ballot Issue 1A;City of Thornton Question 2A;Regional Transportation District Ballot Issue 7A,1;2;3,
Adams,106-411-74,372030,Adams County Commissioner - District 1;Adams County Commissioner - District 2;Adams County Commissioner - District 5;Adams County Court Judge - Dinnel;Adams County Court Judge - Flaum;Adams County Court Judge - Ivey;Adams County Court Judge - Jean;Adams County Court Judge - Kirby;Adams County Court Judge - Nowak;Amendment 79 (CONSTITUTIONAL);Amendment 80 (CONSTITUTIONAL);Amendment G (CONSTITUTIONAL);Amendment H (CONSTITUTIONAL);Amendment I (CONSTITUTIONAL);Amendment J (CONSTITUTIONAL);Amendment K (CONSTITUTIONAL);Colorado Court of Appeals Judge - Dunn;Colorado Court of Appeals Judge - Jones;Colorado Court of Appeals Judge - Kuhn;Colorado Court of Appeals Judge - Roman;Colorado Court of Appeals Judge - Schutz;Colorado Supreme Court Justice - Berkenkotter;Colorado Supreme Court Justice - Boatright;Colorado Supreme Court Justice - Marquez;District Attorney - 17th Judicial District;District Court Judge - 17th Judicial District - Holbrook;District Court Judge - 17th Judicial District - Martin;District Court Judge - 17th Judicial District - Vasquez;Presidential Electors;Proposition 127 (STATUTORY);Proposition 128 (STATUTORY);Proposition 129 (STATUTORY);Proposition 130 (STATUTORY);Proposition 131 (STATUTORY);Proposition JJ (STATUTORY);Proposition KK (STATUTORY);Regent of the University of Colorado - At Large;Representative to the 119th United States Congress - District 8;State Board of Education Member - Congressional District 8;State Representative - District 34,1;2;3,
Adams,106-471-30,432131,17th Judicial District Ballot Question 7B;Adams 12 Five Star Schools Ballot Issue 5D;Adams 12 Five Star Schools Ballot Issue 5E;Adams County Ballot Issue 1A;Regional Transportation District Ballot Issue 7A,1;2;3,
Adams,106-583-3,541822,17th Judicial District Ballot Question 7B;Adams 12 Five Star Schools Ballot Issue 5D;Adams 12 Five Star Schools Ballot Issue 5E;Adams County Ballot Issue 1A;City of Thornton Question 2A;Regional Transportation District Ballot Issue 7A,1;2;3,
Adams,106-586-12,543942,17th Judicial District Ballot Question 7B;Adams County Ballot Issue 1A;City of Thornton Question 2A;Regional Transportation District Ballot Issue 7A,1;2;3,
