county,negative_delta_count,is_clean,total_consecutive_deltas,mean_delta_seconds,stddev_delta_seconds,median_delta_seconds,min_delta_seconds,max_delta_seconds
Adams,0,True,215,143.039831772093,91.00928782540024,123.350088,8.878651,403.7591
Alamosa,0,True,49,43.135873836734696,31.664283603469137,25.744462,8.601923,110.012913
Arapahoe,0,True,56,224.74965991071429,46.113251262195895,219.7215625,138.079657,346.531282
Archuleta,0,True,28,122.92861410714286,12.398382688368866,123.0700205,90.810084,147.156542
Bent,0,True,19,153.0514802105263,16.223439967209302,149.721023,129.56201,187.194358
Boulder,0,True,122,167.03132036065574,90.95333279332105,150.988926,53.191449,395.616902
Broomfield,0,True,48,142.373008875,17.334366757652596,146.1139725,105.063469,186.190886
Chaffee,0,True,72,140.76086672222223,17.68360777226985,135.21865300000002,106.433189,198.166868
Cheyenne,0,True,15,168.16434106666668,27.41807979599616,161.468821,127.331499,219.022866
Clear Creek,0,True,45,151.92381844444444,26.695408360209665,143.05779,122.557696,245.633454
Conejos,0,True,51,180.76240501960785,38.73042739243382,173.680427,116.649494,313.236191
Costilla,0,True,33,182.10653751515153,41.06798702858595,177.724105,111.89488,266.1274
Crowley,0,True,7,412.4703955714286,674.5617095779479,135.929305,106.903533,1938.247041
Custer,0,True,19,187.61714657894737,30.58953207627063,181.880119,144.122757,255.614375
Delta,0,True,72,105.29597693055555,17.738941075553686,103.4417155,70.72062,156.122555
Denver,0,True,272,65.01094236029412,37.40034880363089,55.766267,16.131951,181.4827
Douglas,0,True,62,254.52770088709678,55.47016248075571,245.309496,181.876103,403.450145
Eagle,0,True,42,168.69322938095237,34.031356089534476,159.63439749999998,130.062526,271.319504
El Paso,0,True,137,167.6139225182482,22.287562794838507,166.543552,124.263422,232.39305
Elbert,0,True,19,151.90586715789473,22.88855321446165,152.171581,120.318349,195.239678
Fremont,0,True,19,115.07124910526316,48.738584028523064,102.016995,22.840153,219.417819
Garfield,0,True,105,127.73094044761905,31.358260305989017,119.966356,80.472836,233.923268
Gilpin,0,True,126,142.02068015873016,22.952387017772924,138.1760585,89.689241,201.510963
Grand,0,True,42,140.98980583333332,37.66451912607235,126.1210535,84.300379,241.603317
Gunnison,0,True,40,118.205384425,19.215207586090536,110.4850385,97.918656,175.136702
Huerfano,0,True,36,125.21673533333333,24.99920683437202,113.968233,99.782111,196.923582
Jackson,0,True,29,662.5065770344828,1053.099108507035,230.36488,-847.952904,3464.062321
Jefferson,0,True,84,223.24595016666666,68.88024920999604,213.0165015,46.9779,414.62819
Kiowa,0,True,41,123.27594529268293,9.867127619416324,121.427221,107.215771,153.833488
Kit Carson,0,True,99,104.11100233333333,28.114016855629156,90.308752,77.801272,186.4651
La Plata,0,True,61,145.82252596721312,32.931448328964386,142.35207,93.334682,231.113366
Lake,0,True,73,182.12707387671233,40.57329933308233,174.830283,95.31517,338.416375
Larimer,0,True,125,125.002878504,58.89285199734497,103.818238,41.763835,319.196365
Las Animas,0,True,23,228.97567347826086,111.02201143010488,174.932422,120.204115,561.991744
Lincoln,0,True,13,195.428395,100.38185513856284,137.446399,114.484081,426.812901
Logan,0,True,58,161.50750931034483,23.60728778502433,154.9416675,128.024587,229.561002
Mesa,0,True,58,165.08266113793104,29.874756157771472,156.705819,127.344892,259.582911
Mineral,0,True,9,199.65761544444445,68.45534543240468,170.596983,141.580356,346.444864
Moffat,0,True,35,162.99860588571428,64.12056400000738,142.376234,102.717233,340.697458
Montezuma,0,True,45,178.51896862222222,45.10041361254495,170.927987,118.600958,306.773958
Montrose,0,True,27,141.80856996296296,21.99685140006366,139.023154,116.846794,200.232427
Morgan,0,True,30,137.16511533333335,24.241452882427343,134.7120035,86.468786,203.559517
Ouray,0,True,65,100.78201852307693,14.619743076821297,96.556493,80.435624,142.671441
Park,0,True,39,125.29720317948718,11.857027017560748,123.271442,108.542176,153.541004
Phillips,0,True,47,285.2424144042553,90.99905070663655,263.803029,176.611724,547.116748
Pitkin,0,True,33,223.51388239393938,37.09422542493349,214.080875,166.315439,324.755385
Prowers,0,True,10,145.933188,14.095093713016523,147.45018800000003,125.429625,167.062522
Pueblo,0,True,366,147.4283136010929,98.5054109951564,147.84602999999998,14.378484,480.637656
Rio Blanco,0,True,42,173.5798886190476,67.29925439912432,142.7729,119.590633,398.680452
Rio Grande,0,True,23,170.14182552173912,62.06074520961592,141.34591,119.04126,323.873346
Routt,0,True,141,62.64120985106383,11.866790692884045,62.590045,37.630712,97.609454
Saguache,0,True,67,183.0655290597015,20.19942445693395,184.75693,130.191941,224.057113
San Miguel,0,True,24,197.01768170833333,71.07828323534329,168.5078925,141.986264,392.072327
Sedgwick,0,True,59,151.1391571694915,69.2208592313283,125.480639,82.844041,361.25065
Summit,0,True,42,134.10290009523808,29.04645808536183,127.20334249999999,91.068882,233.967425
Teller,0,True,69,126.2376298115942,19.27357046809819,125.549432,93.544098,171.214655
Washington,0,True,24,77.46816516666667,10.060015129063538,73.7487285,63.625976,103.218112
Weld,0,True,90,166.5630199,28.7267349988971,163.446033,113.212178,250.18864
Yuma,0,True,10,160.9481629,20.79218641942182,157.888004,133.721233,202.575991
